"Key","SourceString","Context","VariableDescription","Type","Tag"
"AWESOME/ACategories/Architecture","Architecture","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Architecture/Structural","Structural","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Architecture/Traversal","Traversal","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Categories/Parts","Parts","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Customizer","Customizer","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Customizer/FoundationMaterials","Foundation Materials","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Customizer/FoundationPatterns","Foundation Patterns","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Customizer/RoofMaterials","Roof Materials","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Customizer/WallMaterials","Wall Materials","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Equipment","Equipment","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Equipment/Ammunition","Ammunition","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Equipment/Consumables","Consumables","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Equipment/Equipment","Equipment","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/FICSITSpecials","FICSIT Specials","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/FICSITSpecials/Boombox","Boombox","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/FICSITSpecials/PioneeringAwards","Pioneering Awards","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/FICSITSpecials/PlanetStatues","MASSAGE-2 (AB)b Statues","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/FICSITSpecials/Vehicles","Vehicles","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Foundations","Foundations","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Management","Management","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Management/Conveyors","Conveyors","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Management/Hypertubes","Hypertubes","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Management/Pipelines","Pipelines","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Management/Power","Power","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Organization","Organization","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Organization/Lighting","Lighting","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Organization/Signs","Signs","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Organization/Storage","Storage","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/PaintFinishes","Paint Finishes","Category/subcategory of items that can be purchased in AWESOME Shop","","Game",""
"AWESOME/ACategories/Parts/Biomass","Biomass","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Parts/Communications","Communications","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Parts/Compounds","Compounds","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Parts/Containers","Containers","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Parts/Electronics","Electronics","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Parts/Industrial","Industrial","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Parts/OilProducts","Oil Products","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Parts/Standard","Standard","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOME/ACategories/Walls","Walls","Category/subcategory of items that can be purchased in AWESOME Shop","","Game","#item #schematics"
"AWESOMEShop/Architecture/ConcretePillarSet","Concrete Pillar Set","","","Game","#item #schematics"
"AWESOMEShop/Architecture/ConstructionFences","Construction Fences","","","",""
"AWESOMEShop/Architecture/FactoryLadder","Factory Ladder","","","Game","#item #schematics"
"AWESOMEShop/Architecture/FramePillarSet","Frame Pillar Set","","","Game","#item #schematics"
"AWESOMEShop/Architecture/IndustrialWalkways","Industrial Walkways","","","Game","#item #schematics"
"AWESOMEShop/Architecture/MetalBarriers","Metal Barriers","","","",""
"AWESOMEShop/Architecture/MetalPillarSet","Metal Pillar Set","","","Game","#item #schematics"
"AWESOMEShop/Architecture/ModernCatwalks","Modern Catwalks","","","Game","#item #schematics"
"AWESOMEShop/Architecture/RoofCorners","FICSIT Roof Corners","","","Game","#item #schematics"
"AWESOMEShop/Architecture/RoofCorners/Description","New research has shown that repetitive Roof aesthetics reduce pioneer efficiency. Solve your productivity issues today with these versatile Roof Corner pieces!","","","Game","#item #schematics"
"AWESOMEShop/Architecture/Roofs","FICSIT Roofs","","","Game","#item #schematics"
"AWESOMEShop/Architecture/Roofs/Description","Every pioneer deserves a Roof over their head and factory. Get this basic human need now for only 6 Coupons!

Once Roofs are unlocked, Roof Materials will become available for purchase in the Customizer section of the AWESOME Shop. Do not miss out on these special looks!","","","Game","#item #schematics"
"AWESOMEShop/Architecture/StructuralBeamPack","Structural Beam Pack","","","Game","#item #schematics"
"AWESOMEShop/Architecture/StructuralFrameSet","Structural Frame Set","","","Game","#item #schematics"
"AWESOMEShop/Architecture/WalkwaysAndCatwalks/GenericDescription","Ever wanted to admire your factories from a safe and convenient overlook? Build some Walkways and let your own labor inspire you to do even better!","","","Game","#item #schematics"
"AWESOMEShop/Customization/Finishes/CarbonSteel","Carbon Steel Finish","","","Game",""
"AWESOMEShop/Customization/Finishes/CarbonSteel/Description","Adds the premium Carbon Steel Paint Finish to the Customizer, from where it can be applied to any building.","","","Game",""
"AWESOMEShop/Customization/Finishes/Caterium","Caterium Paint Finish","","","Game",""
"AWESOMEShop/Customization/Finishes/Caterium/Description","Adds the premium Caterium Paint Finish to the Customizer, from where it can be applied to any building.","","","Game",""
"AWESOMEShop/Customization/Finishes/Chrome","Chrome Paint Finish","","","Game",""
"AWESOMEShop/Customization/Finishes/Chrome/Description","Adds the premium Chrome Paint Finish to the Customizer, from where it can be applied to any building.","","","Game",""
"AWESOMEShop/Customization/Finishes/Copper","Copper Paint Finish","","","Game",""
"AWESOMEShop/Customization/Finishes/Copper/Description","Adds the premium Copper Paint Finish to the Customizer, from where it can be applied to any building.","","","Game",""
"AWESOMEShop/Customization/Finishes/Unpainted","Unpainted Finish","","","Game",""
"AWESOMEShop/Customization/Finishes/Unpainted/Description","Removes the paint finish from buildings. Specifically designed for those who hate paint.","","","Game",""
"AWESOMEShop/Customization/Foundation/AsphaltFoundationMaterial","Asphalt Foundation Material","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Foundation/GripMetalFoundationMaterial","Grip Metal Foundation Material","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Foundation/GripMetalFoundationMaterial/Description","Adds the Grip Metal Foundation Material to the Customizer, from where it can be applied to any Foundation or Ramp.","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Foundations/AsphaltFoundationMaterial/Description","Adds the Asphalt Foundation Material to the Customizer, from where it can be applied to any Foundation or Ramp.","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Foundations/CoatedConcreteFoundationMaterial","Coated Concrete Foundation Material","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Foundations/CoatedConcreteFoundationMaterial/Description","Adds the Coated Concrete Foundation Material to the Customizer, from where it can be applied to any Foundation or Ramp.","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Foundations/ConcreteFoundationMaterial","Concrete Foundation Material","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Foundations/ConcreteFoundationMaterial/Description","Adds the Concrete Foundation Material to the Customizer, from where it can be applied to any Foundation or Ramp.","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Pattern/ArrowPatterns","Arrow Patterns","","","Game","#schematic #customization"
"AWESOMEShop/Customization/Pattern/DottedLine","Dotted Line Patterns","","","Game","#schematic #customization"
"AWESOMEShop/Customization/Pattern/FactoryIcon","Factory Icon Patterns","","","Game","#schematic #customization"
"AWESOMEShop/Customization/Pattern/FactoryZone","Factory Zone Patterns","","","Game","#schematic #customization"
"AWESOMEShop/Customization/Pattern/Number","Number Patterns","","","Game","#schematic #customization"
"AWESOMEShop/Customization/Pattern/Pathway","Pathway Patterns","","","Game","#schematic #customization"
"AWESOMEShop/Customization/Pattern/SolidLine","Solid Line Patterns","","","Game","#schematic #customization"
"AWESOMEShop/Customization/Pattern/TransportationIcon","Transportation Icon Patterns","","","Game","#schematic #customization"
"AWESOMEShop/Customization/Roof/GlassRoofMaterial","Glass Roof Material","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Roof/GlassRoofMaterial/Description","Adds the Glass Roof Material to the Customizer, from where it can be applied to any Roof.","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Roof/MetalRoofMaterial","Metal Roof Material","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Roof/MetalRoofMaterial/Description","Adds the Metal Roof Material to the Customizer, from where it can be applied to any Roof.","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Roof/TarRoofMaterial","Tar Roof Material","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Roof/TarRoofMaterial/Description","Adds the Tar Roof Material to the Customizer, from where it can be applied to any Roof.","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Wall/ConcreteWallMaterial","Concrete Wall Material","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Wall/ConcreteWallMaterial/Description","Adds the Concrete Wall Material to the Customizer, from where it can be applied to any Wall.","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Wall/SteelWallMaterial","Steel Wall Material","","","Game","#item #schematic #customization"
"AWESOMEShop/Customization/Wall/SteelWallMaterial/Description","Adds the Steel Wall Material to the Customizer, from where it can be applied to any Wall.","","","Game","#item #schematic #customization"
"AWESOMEShop/Foundations/ConstructionBeams","Construction Beams","","","Game","#item #schematic"
"AWESOMEShop/Foundations/CornerRampPack","Corner Ramp Pack","","","Game","#item #schematic"
"AWESOMEShop/Foundations/DoubleRampSet","Double Ramp Set","","","Game","#item #schematic"
"AWESOMEShop/Foundations/DoubleRampSet/Description","Never again will you have to build a Ramp one step at a time. Take over the world efficiently, increase your productivity, and enjoy building diagonally with the new Double Ramps!","","","Game","#item #schematic"
"AWESOMEShop/Foundations/FoundationStairsSet","Foundation Stairs Set","","","",""
"AWESOMEShop/Foundations/HalfFoundationSet","Half Foundation Set","","","Game","#item #schematic"
