"Key","SourceString","Context","VariableDescription","Type","Tag"
"AWESOMEShop/Cart/BuyAll/Button","BUY ALL","AWESOME Shop cart menu","","UI",""
"AWESOMEShop/Cart/NotEnoughCoupons","Not enough Coupons","AWESOME Shop cart menu","","UI",""
"AWESOMEShop/Cart/NotEnoughSpace","Not enough space in the Shop inventory","AWESOME Shop cart menu","","UI",""
"AWESOMEShop/Cart/Total","TOTAL:","AWESOME Shop cart menu","","UI",""
"AWESOMEShop/Controls/AddToCart/Button","Add to Cart","Resource Sink key binding hint","","UI","#interface
Resource Sink"
"AWESOMEShop/Controls/TransferStack/Button","Transfer Stack (Purchases)","Resource Sink key binding hint","","UI","#interface
Resource Sink"
"AWESOMEShop/Controls/TransferStack/Shortcut","SHIFT + LMB","Resource Sink key binding hint","","UI","#interface
Resource Sink"
"AWESOMEShop/DarkMode","Dark Mode","","","UI",""
"AWESOMEShop/Dependencies/Alternate","Alternate","","","UI",""
"AWESOMEShop/Dependencies/AwesomeShop","AWESOME Shop","Building where FICSIT Coupon generated from the AWESOME Sink can be spent to unlock blueprints or purchase parts for your factory. AWESOME stands for Anti-Waste Effort for Stress-Testing of Materials on Exoplanets","","UI",""
"AWESOMEShop/Dependencies/Cheat","Cheat","","","UI",""
"AWESOMEShop/Dependencies/Custom","Custom","","","UI",""
"AWESOMEShop/Dependencies/HardDrive","Hard Drive","","","UI",""
"AWESOMEShop/Dependencies/LocalMAM","MAM","","","UI",""
"AWESOMEShop/Dependencies/LocalTheHUB","The HUB","","","UI",""
"AWESOMEShop/Dependencies/MAM","MAM","","","UI",""
"AWESOMEShop/Dependencies/Milestone","Milestone","","","UI",""
"AWESOMEShop/Dependencies/Prototype","Prototype","","","UI",""
"AWESOMEShop/Dependencies/ResearchToUnlock","This schematic is currently unavailable.

Research to unlock:","When looking at a shop product which cannot be unlocked due to not having the dependancy researched (MAM research)","","",""
"AWESOMEShop/Dependencies/Story","Story","","","UI",""
"AWESOMEShop/Dependencies/Tutorial","Onboarding","","","UI",""
"AWESOMEShop/ItemCard/AddToCart/Button","Add to Cart","Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/ItemCard/AddedToCart/Notification","Added to Cart!","Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/ItemCard/AddedToFavorites/Notification","Added to Favorites!","Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/ItemCard/Content","CONTAINS:","Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/ItemCard/Cost/Pattern","x {Cost}","Item Card's UI in AWESOME Shop
{Cost} = amount of coupons","{Cost} = number, number of Coupons required for purchase","UI",""
"AWESOMEShop/ItemCard/CostToBuild","Cost to Build:","Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/ItemCard/DependencyText/Milestones/Pattern","<Orange>{Name} - {Type} - Tier {TierNumber}</>","","{Name} = text, schematic name
{Type} = text, `AWESOMEShop/Dependencies/LocalTheHUB`
{TierNumber} = number","UI",""
"AWESOMEShop/ItemCard/DependencyText/Other/Pattern","<Orange>{Name} - {Type}</>","","{Name} = text, schematic name
{Type} = text, one of `AWESOMEShop/Dependencies/`","UI",""
"AWESOMEShop/ItemCard/Favorite/Button","Favorite","Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/ItemCard/Favorites","Favorites","Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/ItemCard/ItemAmount/Pattern","x {A}","Item Card's UI in AWESOME Shop","{A} = number, number of items included in schematics","UI",""
"AWESOMEShop/ItemCard/Locked","Locked","Locked status appears on the button instead of Add to Cart
Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/ItemCard/Purchased","Purchased","Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/ItemCard/RemovedFromFavorites/Notification","Removed from Favorites!","Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/ItemCard/SchematicContains","Schematic Contains:","Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/ItemCard/SchematicUnavailable","Schematic Unavailable","Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/ItemCard/Unavailable","Unavailable","Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/ItemCard/Unfavorite/Button","Unfavorite","Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/ItemCard/UnlockTerms","Unlock by Researching:","Item Card's UI in AWESOME Shop","","UI",""
"AWESOMEShop/LogoText","AWESOME SHOP","Part of FICSIT AWESOME SHOP logo","","UI",""
"AWESOMEShop/LookAtDescription","Press {BUTTON} to interact with {NAME}","","{BUTTON} = text, key name
{NAME} = text, localized building name (Awesome Shop)","UI","Resource Sink"
"AWESOMEShop/PurchasesHeader","P U R C H A S E S","","","UI",""
"AWESOMEShop/RecommendationsHeader/01","You might also like...","Recommendation section under the item's card in AWESOME Shop","","UI",""
"AWESOMEShop/RecommendationsHeader/02","FICSIT Recommends...","Recommendation section under the item's card in AWESOME Shop","","UI",""
"AWESOMEShop/RecommendationsHeader/03","Other pioneers have also bought...","Recommendation section under the item's card in AWESOME Shop","","UI",""
"AWESOMEShop/RecommendationsHeader/04","Why not take a look at these?","Recommendation section under the item's card in AWESOME Shop","","UI",""
"AWESOMEShop/RecommendationsHeader/05","Check these out!","Recommendation section under the item's card in AWESOME Shop","","UI",""
"AWESOMEShop/RecommendationsHeader/06","Popular in your sector...","Recommendation section under the item's card in AWESOME Shop","","UI",""
"AWESOMEShop/RecommendationsHeader/07","R&D Approved Specials","Recommendation section under the item's card in AWESOME Shop","","UI",""
"AWESOMEShop/Tabs/AWESOMEShop","FICSIT AWESOME Shop","","","UI",""
"AWESOMEShop/Tabs/Purchases","Purchases","","","UI",""
"AWESOMEShop/WelcomeMessage","Welcome back, <BoldOrange>{Pioneer}</>","","{Pioneer} = text, player's name","UI",""
"AWESOMESink/Coupon/LogoText","COUPON","Part of FICSIT Coupon logo","","UI",""
