"Key","SourceString","Context","VariableDescription","Type","Tag"
"Architecture/BarrierLow","Low Barrier","","","Game","#buildable
#item"
"Architecture/BarrierTall","High Barrier","","","Game","#buildable
#item"
"Architecture/Beam/GenericDescription","Snaps to other Beams and various other structural buildings.
Beams support multiple build modes for different use cases.","","","Game","#prototype
#item"
"Architecture/BeamConnector","Beam Connector","","","Game","#prototype
#item"
"Architecture/BeamConnector/GenericDescription","Hides seams and makes Beam connections more visually pleasing.","","","Game","#prototype
#item"
"Architecture/BeamConnectorDouble","Double Beam Connector","","","Game","#prototype
#item"
"Architecture/BeamMetal","Metal Beam","","","Game","#prototype
#item"
"Architecture/BeamPainted","Painted Beam","","","Game","#prototype
#item"
"Architecture/BeamSupport","Beam Support","","","Game","#prototype
#item"
"Architecture/BeamSupport/Description","Snaps to Beams and various other structural buildings.
Used to aesthetically connect beams to surfaces.","","","Game","#prototype
#item"
"Architecture/Catwalk/GenericDescription","Snaps to Foundations and other Walkways.
Specifically designed for humans to walk on.","","","Game","#buildable
#item"
"Architecture/CatwalkCorner","Catwalk Corner","","","Game","#buildable
#item"
"Architecture/CatwalkCrossing","Catwalk Intersection","","","Game","#buildable
#item"
"Architecture/CatwalkRamp","Catwalk Ramp","","","Game","#buildable
#item"
"Architecture/CatwalkStraight","Straight Catwalk","","","Game","#buildable
#item"
"Architecture/CatwalkStrairs","Catwalk Stairs","","","Game","#buildable
#item"
"Architecture/CatwalkTCrossing","Catwalk T-Junction","","","Game","#buildable
#item"
"Architecture/ConstructionFence","Construction Fence","","","",""
"Architecture/ConstructionFenceTarp","Tarp Construction Fence","","","",""
"Architecture/FenceBarrier/GenericDescription","Creates a safer and more efficient working environment.","Generic description used for barriers and construction fences.","","",""
"Architecture/Ladder","Ladder","","","Game","#buildable
#item"
"Architecture/Ladder/Description","Snaps to Walls and Foundations. Default height is 2 m, but it can be extended while building.","","","Game","#buildable
#item"
"Architecture/RailingIndustrial","Industrial Railing","","","Game","#buildable
#item"
"Architecture/RailingIndustrial/Description","Creates a safer working environment when built on the edge of Foundations.","","","Game","#buildable
#item"
"Architecture/Stairs/GenericDescription","Snaps to Foundations.
Simplifies access between floors of your structures.","","","Game","#buildable
#item"
"Architecture/StairsLeft","Stairs Left","","","Game","#buildable
#item"
"Architecture/StairsRight","Stairs Right","","","Game","#buildable
#item"
"Architecture/WalkwayCorner","Walkway Corner","","","Game","#buildable
#item"
"Architecture/WalkwayCrossing","Walkway Intersection","","","Game","#buildable
#item"
"Architecture/WalkwayRamp","Walkway Ramp","","","Game","#buildable
#item"
"Architecture/WalkwayStraight","Straight Walkway","","","Game","#buildable
#item"
"Architecture/WalkwayTCrossing","Walkway T-Junction","","","Game","#buildable
#item"
"Architetcure/BarrierRoad","Road Barrier","","","Game","#buildable
#item"
"Architetcure/RailingModern","Modern Railing","","","Game","#buildable
#item"
"Architetcure/RailingModern/Description","Creates a safer working environment when built on the edge of Foundations.

This Railing is 4 m long and automatically angles itself when built on Ramps.","","","Game","#buildable
#item"
"Foundations/8x1m/GenericDescription","Provides a flat floor to build your factory on.

Buildings on top of the Foundation snap to a grid, making it easier to line them up with each other.

Size: 8 m x 1 m","","","Game","#buildable
#item"
"Foundations/8x2m/GenericDescription","Provides a flat floor to build your factory on.

Buildings on top of the Foundation snap to a grid, making it easier to line them up with each other.

Size: 8 m x 2 m","","","Game","#buildable
#item"
"Foundations/8x4m/GenericDescription","Provides a flat floor to build your factory on.

Buildings on top of the Foundation snap to a grid, making it easier to line them up with each other.

Size: 8 m x 4 m","","","Game","#buildable
#item"
