"Key","SourceString","Context","VariableDescription","Type","Tag"
"Logistics/ConveyorBeltMk1","Conveyor Belt Mk.1","","","Game","#buildable
#item"
"Logistics/ConveyorBeltMk1/Description","Transports up to 60 resources per minute. Used to move resources between buildings.","","","Game","#buildable
#item"
"Logistics/ConveyorBeltMk2","Conveyor Belt Mk.2","","","Game","#buildable
#item"
"Logistics/ConveyorBeltMk2/Description","Transports up to 120 resources per minute. Used to move resources between buildings.","","","Game","#buildable
#item"
"Logistics/ConveyorBeltMk3","Conveyor Belt Mk.3","","","Game","#buildable
#item"
"Logistics/ConveyorBeltMk3/Description","Transports up to 270 resources per minute. Used to move resources between buildings.","","","Game","#buildable
#item"
"Logistics/ConveyorBeltMk4","Conveyor Belt Mk.4","","","Game","#buildable
#item"
"Logistics/ConveyorBeltMk4/Description","Transports up to 480 resources per minute. Used to move resources between buildings.","","","Game","#buildable
#item"
"Logistics/ConveyorBeltMk5","Conveyor Belt Mk.5","","","Game","#buildable
#item"
"Logistics/ConveyorBeltMk5/Description","Transports up to 780 resources per minute. Used to move resources between buildings.","","","Game","#buildable
#item"
"Logistics/ConveyorBeltMk6","Conveyor Belt Mk.6","","","Game","#buildable
#item"
"Logistics/ConveyorBeltMk6/Description","Transports up to 1200 resources per minute. Used to move resources between buildings.","","","Game","#buildable
#item"
"Logistics/ConveyorCeilingMount","Conveyor Ceiling Mount","","","Game","#buildable
#item"
"Logistics/ConveyorCeilingMount/Description","Attaches to ceilings and other ceiling mounts.
Useful for routing Conveyor Belts more precisely and over long distances.","","","Game","#buildable
#item"
"Logistics/ConveyorLift/Mk1","Conveyor Lift Mk.1","","","Game","#buildable
#item"
"Logistics/ConveyorLift/Mk2","Conveyor Lift Mk.2","","","Game","#buildable
#item"
"Logistics/ConveyorLift/Mk3","Conveyor Lift Mk.3","","","Game","#buildable
#item"
"Logistics/ConveyorLift/Mk4","Conveyor Lift Mk.4","","","Game","#buildable
#item"
"Logistics/ConveyorLift/Mk5","Conveyor Lift Mk.5","","","Game","#buildable
#item"
"Logistics/ConveyorLift/Mk6","Conveyor Lift Mk.6","","","Game","#buildable
#item"
"Logistics/ConveyorLiftFloorHole","Conveyor Lift Floor Hole","","","Game","#buildable
#item"
"Logistics/ConveyorLiftFloorHole/Description","Attaches to Foundations, allowing Conveyor Lifts to pass through.","","","Game","#buildable
#item"
"Logistics/ConveyorLiftMk1/Description","Transports up to 60 resources per minute. Used to move resources between floors.","","","Game","#buildable
#item"
"Logistics/ConveyorLiftMk2/Description","Transports up to 120 resources per minute. Used to move resources between floors.","","","Game","#buildable
#item"
"Logistics/ConveyorLiftMk3/Description","Transports up to 270 resources per minute. Used to move resources between floors.","","","Game","#buildable
#item"
"Logistics/ConveyorLiftMk4/Description","Transports up to 480 resources per minute. Used to move resources between floors.","","","Game","#buildable
#item"
"Logistics/ConveyorLiftMk5/Description","Transports up to 780 resources per minute. Used to move resources between floors.","","","Game","#buildable
#item"
"Logistics/ConveyorLiftMk6/Description","Transports up to 1200 resources per minute. Used to move resources between floors.","","","Game","#buildable
#item"
"Logistics/ConveyorMerger","Conveyor Merger","","","Game","#buildable
#item"
"Logistics/ConveyorMerger/Description","Merges up to three Conveyor Belts into one.","","","Game","#buildable
#item"
"Logistics/ConveyorPole","Conveyor Pole","","","Game","#buildable
#item"
"Logistics/ConveyorPole/Description","Connects Conveyor Belt segments. Pole height can be adjusted.
Useful for routing Conveyor Belts more precisely and across long distances.","","","Game","#buildable
#item"
"Logistics/ConveyorPole/Stackable","Stackable Conveyor Pole","","","Game","#buildable
#item"
"Logistics/ConveyorPole/Stackable/Description","Supports Conveyor Belts. Can be stacked on other stackable supports.","","","Game","#buildable
#item"
"Logistics/ConveyorSpitter","Conveyor Splitter","","","Game","#buildable
#item"
"Logistics/ConveyorSpitter/Description","Splits one Conveyor Belt into two or three. 
Useful for diverting parts and resources away from backlogged Conveyor Belts.","","","Game","#buildable
#item"
"Logistics/ConveyorSpitterProgrammable","Programmable Splitter","","","Game","#buildable
#item"
"Logistics/ConveyorSpitterProgrammable/Description","Splits one Conveyor Belt into two or three. 
Multiple filters can be set for each output to allow specific parts to pass through.","","","Game","#buildable
#item"
"Logistics/ConveyorSpitterSmart","Smart Splitter","","","Game","#buildable
#item"
"Logistics/ConveyorSpitterSmart/Description","Splits one Conveyor Belt into two or three.
A filter can be set for each output to allow a specific part to pass through.","","","Game","#buildable
#item"
"Logistics/ConveyorWallMount","Conveyor Wall Mount","","","Game","#buildable
#item"
"Logistics/ConveyorWallMount/Description","Attaches to Walls.
Useful for routing Conveyor Belts more precisely and over long distances.","","","Game","#buildable
#item"
"Logistics/PipelineFloorHole","Pipeline Floor Hole","","","Game","#buildable
#item"
"Logistics/PipelineFloorHole/Description","Attaches to Foundations, allowing Pipelines to pass through.","","","Game","#buildable
#item"
"Logistics/PipelineJunctionCross","Pipeline Junction","","","Game","#buildable
#item"
"Logistics/PipelineJunctionCross/Description","Attaches to a Pipeline, allowing it to be split up to 4 ways.","","","Game","#buildable
#item"
"Logistics/PipelineMk1","Pipeline Mk.1","","","Game","#buildable
#item"
"Logistics/PipelineMk1/Description","Transports fluids.
External indicators show flow rate, direction, and volume.
Capacity: 300 m³ of fluid per minute.","","","Game","#buildable
#item"
"Logistics/PipelineMk1NoIndicator","Clean Pipeline Mk.1","","","Game","#buildable
#item"
"Logistics/PipelineMk1NoIndicator/Description","Transports fluids.
Capacity: 300 m³ of fluid per minute.

Caution: This version of the Pipeline does not feature an external indicator.","","","Game","#buildable
#item"
"Logistics/PipelineMk2","Pipeline Mk.2","","","Game","#buildable
#item"
"Logistics/PipelineMk2/Description","Transports fluids.
External indicators show flow rate, direction, and volume.
Capacity: 600 m³ of fluid per minute.","","","Game","#buildable
#item"
"Logistics/PipelineMk2NoIndicator","Clean Pipeline Mk.2","","","Game","#buildable
#item"
"Logistics/PipelineMk2NoIndicator/Description","Transports fluids.
Capacity: 600 m³ of fluid per minute.

Caution: This version of the Pipeline does not feature an external indicator.","","","Game","#buildable
#item"
"Logistics/PipelinePumpMk1","Pipeline Pump Mk.1","","","Game","#interface
#pipe"
"Logistics/PipelinePumpMk1/Description","Attaches to a Pipeline to apply Head Lift.
Maximum Head Lift: 20 m
(Allows fluids to be transported 20 m upwards.)

NOTE: Arrows and holograms when building indicate Head Lift direction.
NOTE: Head Lift does not stack, so space between Pumps is recommended.","","","Game","#buildable
#item"
"Logistics/PipelinePumpMk2","Pipeline Pump Mk.2","","","Game","#buildable
#item"
"Logistics/PipelinePumpMk2/Description","Can be attached to a Pipeline to apply Head Lift.
Maximum Head Lift: 50 m
(Allows fluids to be transported 50 meters upwards.)

NOTE: Arrows and holograms when building indicate Head Lift direction.
NOTE: Head Lift does not stack, so space between Pumps is recommended.","","","Game","#buildable
#item"
"Logistics/PipelineSupport","Pipeline Support","","","Game","#buildable
#item"
"Logistics/PipelineSupport/Description","Connects Pipeline segments. Support height can be adjusted.
Useful for routing Pipelines more precisely and across long distances.","","","Game","#buildable
#item"
"Logistics/PipelineSupportStackable","Stackable Pipeline Support","","","Game","#buildable
#item"
"Logistics/PipelineSupportStackable/Description","Supports Pipelines. Can be stacked on other stackable supports.","","","Game","#buildable
#item"
"Logistics/PipelineValve","Valve","","","Game","#buildable
#item"
"Logistics/PipelineValve/Description","Limits Pipeline flow rates.
Can be attached to a Pipeline.

NOTE: Has an in- and output direction.","","","Game","#buildable
#item"
"Logistics/PipelineWallHole","Pipeline Wall Hole","","","Game","#buildable
#item"
"Logistics/PipelineWallHole/Description","Attaches to Walls, allowing Pipelines to pass through.","","","Game","#buildable
#item"
"Logistics/PipelineWallSupport","Pipeline Wall Support","","","Game","#buildable
#item"
"Logistics/PipelineWallSupport/Description","Attaches to Walls.
Used to connect Pipelines over longer distances.","","","Game","#buildable
#item"
"Organization/DimensionalDepot","Dimensional Depot Uploader","","","",""
"Organization/DimensionalDepot/Description","The Dimensional Depot Uploader is used to upload resources to a dimensional storage deposit.
From here resources can be used by the Build Gun and Crafting Stations, as if they were in the pioneer Inventory.","","","",""
"Organization/FluidBuffer","Fluid Buffer","","","Game","#buildable
#item"
