"Key","SourceString","Context","VariableDescription","Type","Tag"
"BlueprintDesigner/Details/Clear/Button","Clear Blueprint Designer","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Cost","Cost:","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Cost/NoCost","This Blueprint has no cost.","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Description","Blueprint Description:","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Description/TextBoxHint","Description...","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Directory","Directory:","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Directory/Pattern","Directory: {category} / {subcategory}","","{category} = text, category the blueprint is in
{subcategory} = text, subcategory the blueprint is in","UI","#interface
#buildable"
"BlueprintDesigner/Details/Directory/UndefinedCategory","Undefined","Name given to an undefined category","","",""
"BlueprintDesigner/Details/IconSettings","Icon Settings:","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/IconSettings/SelectColor/Button","Select Color","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/IconSettings/SelectIcon/Button","Select Icon","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Load/Button","Load Blueprint","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Name","Blueprint Name:","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Name/DefaultName","New Blueprint","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Name/InvalidSymbols/Body/Pattern","Blueprint names containing the following symbols are not allowed:{symbols}","","{symbols} = text, list of symbols that aren't allowed in a blueprint name","UI","#interface
#buildable"
"BlueprintDesigner/Details/Name/InvalidSymbols/aTitle","Invalid Symbols in Blueprint Name","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Name/TextBoxHint","Name...","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Name/Used/Body","This name is already in use. Saving will overwrite the Blueprint that's currently using this name.","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Name/Used/aTitle","Blueprint name is already in use","","","",""
"BlueprintDesigner/Details/NoBlueprinName/WindowTitle","Edit Blueprint","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Remove/Button","Remove Blueprint","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/Save/Button","Save Blueprint","","","UI","#interface
#buildable"
"BlueprintDesigner/Details/SetDirectory/Button","Set Directory","","","UI","#interface
#buildable"
"BlueprintDesigner/Load/Fail","Load Failed","","","UI","#interface
#buildable"
"BlueprintDesigner/Load/Fail/DoesNotFit","This Blueprint was made in a Blueprint Designer of a different size, and cannot be loaded in to this Blueprint Designer.","","","UI","#interface
#buildable"
"BlueprintDesigner/Load/Fail/FileMissing","The file for this Blueprint is missing.","","","UI","#interface
#buildable"
"BlueprintDesigner/Load/Fail/InvalidBlueprint","The selected Blueprint is not valid.","","","UI","#interface
#buildable"
"BlueprintDesigner/Load/Fail/LockedRecipies","This Blueprint contains recipes you haven't unlocked.","","","UI","#interface
#buildable"
"BlueprintDesigner/Load/Fail/MissingResources","You do not have the resources to load this Blueprint.","","","UI","#interface
#buildable"
"BlueprintDesigner/Load/Fail/UnableToLoad","Unable to load Blueprint.","","","UI","#interface
#buildable"
