"Key","SourceString","Context","VariableDescription","Type","Tag"
"Inbox/Categories/Messages","Messages","","","UI",""
"Inbox/Categories/Tutorial","Onboarding","","","UI",""
"Inbox/Message/AttachedOnboardingStep","Attached Onboarding Step:","","","UI",""
"Inbox/Message/DefaultAddressee","Employee","","","UI","#interface"
"Inbox/Message/MarkAllAsRead/Button","Mark All As Read","","","UI",""
"Inbox/Message/Recipient","Message Recipient:","","","UI",""
"Inbox/Message/RecordedAudio","Recorded Audio:","","","UI",""
"Inbox/Message/Sender/ADA","ADA","Message UI","","UI","#interface"
"Inbox/Message/Sender/Aliens","???","","","UI",""
"Inbox/Message/Sender/InvalidSender","[INVALID SENDER]","","","UI",""
"Inbox/Message/Title","Message Title:","","","UI",""
"Inbox/Message/Transcription","Transcribed Message:","","","UI",""
"Recipes/Categories/Buildings","Buildings","","","UI","#interface"
"Recipes/Categories/Equipment","Equipment","","","UI","#interface"
"Recipes/Categories/Parts","Parts","","","UI","#interface"
"Recipes/Categories/Vehicles","Vehicles","","","UI","#interface"
"Recipes/Info/Use","Used in:","What recipe is this resource used in","","",""
"Recipes/Recipes","Recipes:","","","UI","#interface"
"Tabs/Inbox","Inbox","","","UI","#interface"
"Tabs/Recipes","Recipes","","","UI","#interface"
