"Key","SourceString","Context","VariableDescription","Type","Tag"
"Emotes/Cancel","Cancel","","","Game",""
"Emotes/Clap","Clap","","","Game",""
"Emotes/Facepalm","Facepalm","","","Game",""
"Emotes/FingerGun","Finger Guns","","","Game","#ficsmas"
"Emotes/Heart","Heart","","","Game",""
"Emotes/Paper","Paper","","","Game",""
"Emotes/Point","Point","","","Game",""
"Emotes/Rock","Rock","","","Game",""
"Emotes/Scissors","Scissors","","","Game",""
"Emotes/ThumbsDown","Thumbs Down","","","Game",""
"Emotes/ThumbsUp","Thumbs Up","","","Game",""
"Emotes/TwirlIt","Twirl It","","","Game",""
"Emotes/Wave","Wave","","","Game",""
