"Key","SourceString","Context","VariableDescription","Type","Tag"
"Boombox","Boombox","","","Game","#equipment
#item
#decor"
"Boombox/Description","Plays the hottest music tapes on the planet.

Tapes are automatically added to the Boombox when obtained.","","","Game","#equipment
#item
#decorr"
"Boombox/Tapes/AbsoluteFICSIT","Absolute FICSIT Boombox Tape","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
"Boombox/Tapes/AbsoluteFICSIT/Description","The most efficient music in the universe.

Boombox Tapes are automatically added to the Boombox when obtained.","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
"Boombox/Tapes/AbsoluteFICSIT/TapeDescription","Dream Thing","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
"Boombox/Tapes/AbsoluteFICSIT/Title","Absolute FICSIT","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
"Boombox/Tapes/AbsoluteHits94","Absolute Hits 94","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
"Boombox/Tapes/ChildPlayingPiano","Child Playing Piano","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
"Boombox/Tapes/DeepRockGalactic","Deep Rock Galactic Boombox Tape","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
"Boombox/Tapes/DeepRockGalactic/Description","Sophus Alf Agerbaek-Larsen; Troels Rohde Joergensen","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
"Boombox/Tapes/DeepRockGalactic/Title","Deep Rock Galactic","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
"Boombox/Tapes/GenericDescription","Boombox Tapes are automatically added to the Boombox when obtained.","Boombox tape. Can be purchased at AWESOME Shop","","",""
"Boombox/Tapes/GoatMusic","Goat Music Boombox Tape","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
"Boombox/Tapes/GoatMusic/Description","22 minutes and 47 seconds of goat-fi beats to chill/eat grass to.

By goats, for goats.

Boombox Tapes are automatically added to the Boombox when obtained.","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
"Boombox/Tapes/Huntdown","Huntdown Boombox Tape","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
"Boombox/Tapes/Huntdown/Description","Tommy Gustafsson","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
"Boombox/Tapes/Huntdown/Title","Huntdown","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
"Boombox/Tapes/JoelSyntholm","Joel Syntholm Boombox Tape","Boombox tape. Can be purchased at AWESOME Shop","","Game","#item #boombox"
