"Key","SourceString","Context","VariableDescription","Type","Tag"
"ActualSnow","FICSMAS Actual Snow","Christmas factory decoration","","Game","#item"
"ActualSnow/Description","This Actual Snow is made from several chemical elements and experiences 100% like naturally occuring snow after extensive user testing.","Christmas factory decoration","","Game","#item"
"CandyCane","Candy Cane","Christmas equipment","","Game","#item"
"CandyCane/Description","A delicious Candy Cane to be enjoyed during the FICSMAS Holidays.
*Disclaimer: Not for human consumption…","Christmas equipment","","Game","#item"
"CandyCaneBasher","Candy Cane Basher","Christmas version of Xeno-Basher","","Game","#item"
"CandyCaneBasher/Description","Self-defense is now not only fun, but also delicious for the target! Do not lick or consume.","Christmas version of Xeno-Basher","","Game","#item"
"CandyCaneDecor","FICSMAS Candy Cane","Christmas decor","","",""
"CandyCaneDecor/Description","A giant Candy Cane decoration.

- Not for consumption.
- Do not inhale close to it without appropriate protection.
- Do not put in your eyes.
- Keep away from overly curious wildlife.","Christmas decor","","Game","#item"
"Emotes/FingerGuns","Emote: Finger Guns!","Exclusive Christmas emote","","Game","#customization"
"FICSMASBow","FICSMAS Bow","Christmas factory decoration","","Game","#item"
"FICSMASBow/Description","A fancy bow. Not for wearing, eating, admiring, Lizard Doggos, humans, aliens, or anything not related to FICSMAS factory production.","Christmas factory decoration","","Game","#item"
"FICSMASDataCartridge1","FICSMAS Data Cartridge Day 1 ","","","",""
"FICSMASDataCartridge1/Description","FICSMAS Data Cartridge Day 1, used to progress FICSMAS MAM research.","","","",""
"FICSMASDataCartridge2","FICSMAS Data Cartridge Day 4","","","",""
"FICSMASDataCartridge2/Description","FICSMAS Data Cartridge Day 4, used to progress FICSMAS MAM research.","","","",""
"FICSMASDataCartridge3","FICSMAS Data Cartridge Day 8","","","",""
"FICSMASDataCartridge3/Description","FICSMAS Data Cartridge Day 8, used to progress FICSMAS MAM research.","","","",""
"FICSMASDataCartridge4","FICSMAS Data Cartridge Day 14","","","",""
"FICSMASDataCartridge4/Description","FICSMAS Data Cartridge Day 14, used to progress FICSMAS MAM research.","","","",""
"FICSMASDecoration","FICSMAS Decoration","Christmas factory decoration","","Game","#item"
"FICSMASDecoration/Description","FICSIT's newest holiday innovation: decorations that can be turned into decorations! Efficiency and waste-conscious design at its best.","Christmas factory decoration","","Game","#item"
"FICSMASGift","FICSMAS Gift","Christmas factory decoration","","Game","#item"
"FICSMASGift/Description","Gifts that have inexplicably fallen from the sky or spawned from a FICSMAS Gift Tree.

Don’t question it—they’re used to produce FICSMAS buildings and parts.

These Gifts are part of the FICSMAS Event, like the calendar in the HUB.","Christmas factory decoration","","Game","#item"
"FICSMASGift/Explosive","Totally Normal FICSMAS Gift","Explosive FICSMAS gift name","","",""
"FICSMASGift/Interact","Press {BUTTON} to interact with FICSMAS Gift","Gifts that fall out of the sky - interact text","","",""
"FICSMASLights","FICSMAS Lights","Christmas factory decoration","","Game","#item"
"FICSMASOrnament/Blue","Blue FICSMAS Ornament","Christmas factory decoration","","Game","#item"
"FICSMASOrnament/Blue/Description","An ornament for making FICSMAS Decorations. A mildly pleasing blue.","Christmas factory decoration","","Game","#item"
"FICSMASOrnament/Bundle","FICSMAS Ornament Bundle","Christmas factory decoration","","Game","#item"
"FICSMASOrnament/Bundle/Description","A collection of FICSMAS ornaments and also an eyesore.","Christmas factory decoration","","Game","#item"
"FICSMASOrnament/Copper","Copper FICSMAS Ornament","Christmas factory decoration","","Game","#item"
"FICSMASOrnament/Copper/Description","An ornament for making FICSMAS Decorations. A slightly dignified copper.","Christmas factory decoration","","Game","#item"
"FICSMASOrnament/Iron","Iron FICSMAS Ornament","Christmas factory decoration","","Game","#item"
"FICSMASOrnament/Iron/Description","An ornament for making FICSMAS Decorations. An okay iron.","Christmas factory decoration","","Game","#item"
"FICSMASOrnament/Red","Red FICSMAS Ornament","Christmas factory decoration","","Game","#item"
"FICSMASOrnament/Red/Description","An ornament for making FICSMAS Decorations. An acceptable red.","Christmas factory decoration","","Game","#item"
"FICSMASSnowCannon","FICSMAS Snow Cannon","Christmas factory decoration","","",""
"FICSMASSnowCannon/Description","For those who want to aggressively celebrate the holidays.","Christmas factory decoration","","",""
"FICSMASTreeBranch","FICSMAS Tree Branch","Christmas factory decoration","","Game","#item"
"FICSMASTreeBranch/Description","This FICSMAS Tree Branch is very different from regular tree branches: it's used to produce parts and buildings during the FICSMAS event, rather than for combustion.","Christmas factory decoration","","Game","#item"
"FICSMASWonderStar","FICSMAS Wonder Star","Christmas factory decoration","","Game","#item"
"FICSMASWonderStar/Description","A symbol of appreciation for all the hard work FICSIT has done for its employees. It seems to have an aura of gratitude. Seeing this also means the seasonal event is nearly done, and we can finally get back to Saving The Day.","Christmas factory decoration","","Game","#item"
"Fireworks","Equipment: Fireworks","Christmas factory decoration","","Game","#item"
"Fireworks/Fancy","Fancy Fireworks","Christmas factory decoration","","Game","#item"
"Fireworks/Fancy/Description","Poses acceptable amount of risk to pioneers.","Christmas factory decoration","","Game","#item"
"Fireworks/Sparkly","Sparkly Fireworks","Christmas factory decoration","","Game","#item"
"Fireworks/Sparkly/Description","Keep away from easily distracted pioneers.","Christmas factory decoration","","Game","#item"
"Fireworks/Sweet","Sweet Fireworks","Christmas factory decoration","","Game","#item"
"Fireworks/Sweet/Description","Has the minimum safety requirements.","Christmas factory decoration","","Game","#item"
"GiantTree","Giant FICSMAS Tree","Christmas factory decoration","","Game","#item"
"GiantTree/Description","Decorate this unique one-of-a-kind tree by progressing through the FICSMAS Holiday Event in the MAM.","Christmas factory decoration","","Game","#item"
