"Key","SourceString","Context","VariableDescription","Type","Tag"
"Calendar/CalendarTitle","FICSMAS Calendar","","","UI",""
"Calendar/FindHint","Need help finding a number?","FICSMAS Advent calendar menu","","UI","#minigame"
"Calendar/FindHint/EnterNumber/TextBoxHint","Enter Number","FICSMAS Advent calendar menu","","UI","#minigame"
"Calendar/FindHint/Errors/DateInTheFuture","This date has not yet arrived, so no hint will be given.","FICSMAS Advent calendar menu","","UI","#minigame"
"Calendar/FindHint/Errors/NotANumber","Please enter a numeric value.","FICSMAS Advent calendar menu","","UI","#minigame"
"Calendar/FindHint/Errors/NumberDoesNotExist","Number does not exist on this calendar!","FICSMAS Advent calendar menu","","UI","#minigame"
"Calendar/FindHint/GetHint/Button","Get Hint!","FICSMAS Advent calendar menu","","UI","#minigame"
"Calendar/LookAtDescription/OpenCalendar","Press [{PlayerActions_Use}] to open Calendar","Look-at description tooltip","{PlayerActions_Use} = text, key name","UI","#interface
#common"
"Calendar/NewUnlock/Label","You have unlocked:","FICSMAS Advent calendar menu","","UI","#minigame"
"Calendar/NewUnlock/Title","New unlock!","FICSMAS Advent calendar menu","","UI","#minigame"
"GamepadHints/aCommon/CloseMenu","Close Menu","FICSMAS Advent calendar menu","","UI",""
