"Key","SourceString","Context","VariableDescription","Type","Tag"
"BoomBox","BoomBox Mode","","","UI","#gamepads"
"BoomBox/OpenMenu","Open Menu","","","UI","#gamepads"
"BoomBox/PlayPause","Play/Pause","","","UI","#gamepads"
"BoomBox/PutDown","Put Down","","","UI","#gamepads"
"BoomBox/TurboBass","Turbo Bass","","","UI","#gamepads"
"Build","Build Mode","","","UI","#gamepads"
"Build/Build","Build","","","UI","#gamepads"
"Build/LockHologramMode","Lock Hologram Mode","","","UI","#gamepads"
"Build/QuickSwitch","Quick Switch","","","UI","#gamepads"
"Build/QuickSwitchRadial","Quick Switch Radial","","","UI","#gamepads"
"Build/RotateHologramLeft","Rotate Hologram Left","","","UI","#gamepads"
"Build/RotateHologramRight","Rotate Hologram Right","","","UI","#gamepads"
"Build/SampleBuilding","Sample Building","","","UI","#gamepads"
"Build/SnapToGuidelines","Snap to Guidelines","","","UI","#gamepads"
"Build/SwitchBuildMode","Switch Build Mode","","","UI","#gamepads"
"Customization","Customization Mode","","","UI","#gamepads"
"Customization/ApplyColorScheme","Apply Color Scheme","","","UI","#gamepads"
"Customization/OpenCustomizationMenu","Open Customization Menu","","","UI","#gamepads"
"Customization/QuickSwitch","Quick Switch","","","UI","#gamepads"
"Customization/QuickSwitchRadial","Quick Switch Radial","","","UI","#gamepads"
"Customization/SetFilter","Set Filter","","","UI","#gamepads"
"Dismantle","Dismantle Mode","","","UI","#gamepads"
"Dismantle/Dismantle","Dismantle","","","UI","#gamepads"
"Dismantle/MassDismantle","Mass Dismantle","","","UI","#gamepads"
"Dismantle/SetFilter","Set Filter","","","UI","#gamepads"
"Driving","In-Vehicle (General Vehicles) Controls","","","UI","#gamepads"
"Driving/Accelerate","Accelerate","","","UI","#gamepads"
"Driving/BrakeReverse","Brake/Reverse","","","UI","#gamepads"
"Driving/Camera","Camera","","","UI","#gamepads"
"Driving/ChangeCamera","Change Camera","","","UI","#gamepads"
"Driving/Horn","Horn","","","UI","#gamepads"
"Driving/LeaveVehicle","Leave Vehicle","","","UI","#gamepads"
"Driving/LoadPath","Load Path","","","UI","#gamepads"
"Driving/OpenRecordMenu","Record Menu","","","UI","#gamepads"
"Driving/SavePath","Save Path","","","UI","#gamepads"
"Driving/ShowHidePath","Show/Hide path","","","UI","#gamepads"
"Driving/Steering","Steering","","","UI","#gamepads"
"Driving/ToggleHighlights","Headlights","","","UI","#gamepads"
"HologramLock","Hologram Lock Mode","","","UI","#gamepads"
"HologramLock/EndHologramLockMode","End Hologram Lock Mode","","","UI","#gamepads"
"HologramLock/NudgeBack","Nudge Back","","","UI","#gamepads"
"HologramLock/NudgeForward","Nudge Forward","","","UI","#gamepads"
"HologramLock/NudgeLeft","Nudge Left","","","UI","#gamepads"
"HologramLock/NudgeRight","Nudge Right","","","UI","#gamepads"
"Main","Main mode","","","UI","#gamepads"
"Main/AimCamera","Aim Camera","","","UI","#gamepads"
"Main/AmmoModeSelection","Ammo/Mode Selection","","","UI","#gamepads"
"Main/Ascend","Ascend","","","UI","#gamepads"
"Main/Chat","Chat","","","UI","#gamepads"
"Main/CrouchDescend","Crouch/Descend","","","UI","#gamepads"
"Main/DismantleMode","Dismantle Mode","","","UI","#gamepads"
"Main/EmotesRadial","Emotes Radial","","","UI","#gamepads"
"Main/HotbarRadial","Hotbar Radial","","","UI","#gamepads"
"Main/Interact","Interact","","","UI","#gamepads"
"Main/Jump","Jump","","","UI","#gamepads"
"Main/Movement","Movement","","","UI","#gamepads"
"Main/Ping","Ping","","","UI","#gamepads"
"Main/Reload","Reload","","","UI","#gamepads"
"Main/ResourceRadial","Resource Radial","","","UI","#gamepads"
"Main/Scan","Scan","","","UI","#gamepads"
"Main/SwitchTool","Switch Tool","","","UI","#gamepads"
"Main/ToggleAutoPickup","Toggle Auto-Pickup","","","UI","#gamepads"
"Main/ToolRadialAndHolster","Tool Radial/Holster","","","UI","#gamepads"
"Main/ToolSpecificRadial","Tool Specific Radial","","","UI","#gamepads"
"Main/Use","Use","","","UI","#gamepads"
"Photo","Photo Mode","","","UI","#gamepads"
"Photo/DecreaseFOV","Decrease FOV","","","UI","#gamepads"
"Photo/IncreaseFOV","Increase FOV","","","UI","#gamepads"
"Photo/TakePicture","Take Picture","","","UI","#gamepads"
"Photo/ToggleHighRes","Toggle Hi-Res","","","UI","#gamepads"
"aCommon/BackToMainMode","Back to Main Mode","","","UI","#gamepads"
"aCommon/BigMenu","Big Menu","","","UI","#gamepads"
"aCommon/BuildMenu","Build Menu","","","UI","#gamepads"
"aCommon/GameMenu","Game Menu","","","UI","#gamepads"
"aCommon/HideUI","Hide UI","","","UI","#gamepads"
"aCommon/HolsterTool","Holster Tool","","","UI","#gamepads"
"aCommon/OpenBuildingInBuildMode","Open Building in Build Menu","","","UI","#gamepads"
"aCommon/SkipTutorial","Skip Tutorial","","","UI","#gamepads"
"aCommon/ToggleSprint","Toggle Sprint","","","UI","#gamepads"
