"Key","SourceString","Context","VariableDescription","Type","Tag"
"Game/ColorPicker/Preset/NameUsed","Color Preset name already in use","","","UI","interface
color_picker"
"Game/ColorPicker/Preset/NameUsed/Description","This name is already in use. Saving will overwrite the Color Preset that's currently using this name.

Do you wish to continue?","","","UI","interface
color_picker"
"Game/ColorPicker/Preset/NameUsed/Warning/Description","This name is already in use. Saving will overwrite the Color Preset that's currently using this name.","","","UI","interface
color_picker"
"Game/ColorPicker/Preset/Save/Button","Save Preset","","","UI","interface
color_picker"
"Game/Progression/ProjectAssembly","PROJECT ASSEMBLY","","","UI","#interface
#game
#project_assembly
#progression"
"Game/Progression/ProjectAssembly/PhaseUnlock/Completed","COMPLETED","","","UI","#interface
#game
#project_assembly
#progression"
"Game/Progression/ProjectAssembly/PhaseUnlock/IndexAndName/Pattern","Phase {number}: {name}","","{number} = number, phase number
{name} = text, phase name","UI","#interface
#game
#project_assembly
#progression"
"Game/Progression/ProjectAssembly/PhaseUnlock/NoCost","Completed with No Cost","","","UI","#interface
#game
#project_assembly
#progression"
"Game/Progression/ProjectAssembly/PhaseUnlock/Tiers/Pattern","Unlocks Tiers {A}","","{A} = text, comma and ampersand-separated list of Tiers","UI","#interface
#game
#project_assembly
#progression"
"Game/Progression/ProjectAssembly/PhaseUnlock/TiersTexts/AddingLastTierInList/Pattern","{OldText} & {NewText}","Used to add the last tier to the comma-separated list, <> are texts that would come in here as variables:
<Tier 1, Tier 2> & <Tier 3>
(if it's the last tier in the list)","{OldText} = text, one Tier or a comma-separated list of Tiers combined via `Game/Progression/ProjectAssembly/PhaseUnlock/TiersTexts/CombiningTierList/Pattern`
{NewText} = text, last Tier in a list to add","UI","#interface
#game
#project_assembly
#progression"
"Game/Progression/ProjectAssembly/PhaseUnlock/TiersTexts/CombiningTierList/Pattern","{OldText}, {NewText}","Used to combine tiers into a comma-separated list, <> are texts that would come in here as variables:
<Tier 1, Tier 2>, <Tier 3>
(if there's more Tiers in the list)","{OldText} = text, one Tier or a comma-separated list of Tiers combined via this pattern
{NewText} = text, another Tier to be added to the comma-esparated list of Tiers","UI","#interface
#game
#project_assembly
#progression"
"Game/ToDoList/BuildHUB","Build the HUB","","","UI","#interface
#hub"
"Game/ToDoList/BuildSpaceElelvator","Build the Space Elevator","","","UI","#interface"
"Game/ToDoList/CompleteOnboarding","Complete the Onboarding Process","","","UI","#interface"
"Game/ToDoList/CompletePhase/Objective","Objective:","","","UI","#interface"
"Game/ToDoList/CompletePhase1","Complete Phase 1","","","UI","#interface"
"Game/ToDoList/CompletePhase2","Complete Phase 2","","","UI","#interface"
"Game/ToDoList/CompletePhase3","Complete Phase 3","","","UI","#interface"
"Game/ToDoList/CompletePhase4","Complete Phase 4","","","UI","#interface"
"Game/ToDoList/CompletePhase5","Complete Phase 5","","","UI","#interface"
"Game/ToDoList/LaunchProjectAssembly","Launch Project Assembly","","","UI","#interface"
"GenericUIStrings/Cancel/Button","Cancel","Standard popup used around the game with different title and body","","UI","#common
#interface"
"GenericUIStrings/Confirm/Button","Confirm","Standard popup used around the game with different title and body","","UI","#common
#interface"
"GenericUIStrings/Keybindings/Close","Close","","","UI",""
"GenericUIStrings/Keybindings/CopySettings","Copy Settings","","","UI","#interface
#common
#manufacturing"
"GenericUIStrings/Keybindings/PasteSettings","Paste Settings","","","UI","#interface
#common
#manufacturing"
"GenericUIStrings/Keybindings/Select","Select","","","UI","#prototype
interface
#build_menu"
"GenericUIStrings/Keybindings/Shortcuts/CtrlC","CTRL + C","","","UI","#interface
#common
#manufacturing"
"GenericUIStrings/Keybindings/Shortcuts/CtrlDragOrCtrlClick","CTRL + Drag / CTRL + Click","","","UI",""
"GenericUIStrings/Keybindings/Shortcuts/CtrlV","CTRL + V","","","UI","#interface
#common
#manufacturing"
"GenericUIStrings/Keybindings/Shortcuts/Esc","ESC","","","UI","#interface
#craft_bench"
"GenericUIStrings/Keybindings/Shortcuts/LMB","LMB","","","UI","#interface
#craft_bench"
"GenericUIStrings/Keybindings/Shortcuts/RMB","RMB","","","UI",""
"GenericUIStrings/Keybindings/Shortcuts/ShiftClick","SHIFT + Click","","","UI",""
"GenericUIStrings/Keybindings/SplitStack","Split Stack","","","UI",""
"GenericUIStrings/Keybindings/ToDoList/AddItem","Add to To-Do List","","","UI","#prototype
interface
#build_menu"
"GenericUIStrings/Keybindings/ToDoList/RemoveItem","Remove from To-Do List","","","UI","#prototype
interface
#build_menu"
"GenericUIStrings/Keybindings/TransferAllStacksOfType","Transfer All Stacks of Type","","","UI",""
"GenericUIStrings/Keybindings/TransferStack","Transfer Stack","","","UI",""
"GenericUIStrings/Sort/Button","Sort","","","UI",""
"GenericUIStrings/Textbox/Search/TextboxHint","Search...","","","UI",""
"Shared/ColorPicker/Preset/Name","Enter a name for the new preset","","","UI","interface
color_picker"
"Shared/ColorPicker/Preset/Name/TextBoxHint","Preset Name...","","","UI","interface
color_picker"
"Shared/ColorPicker/Preset/NameUsedByStaticPreset/Body","This name is already in use by a Static Preset and cannot be overwritten.","","","UI","interface
color_picker"
"Shared/ColorPicker/Preset/NameUsedByStaticPreset/aTitle","Preset Name in use by a Static Preset","","","UI","interface
color_picker"
"Shared/ColorPicker/Preset/PresetSavedNotification/Pattern","Color Preset ""{name}"" saved!","","{name} = text, name of color preset","UI","interface
color_picker"
"Shared/Combobox/Results/MoreOptionsAvailable","More results available...","","","UI","#interface
#combobox"
"Shared/Combobox/Search/PlusMoreOptions/Pattern","{Num} more options...","Supports plurals","{Num} = number","UI","#interface
#combobox"
"Shared/Combobox/Search/PlusOneOption/Pattern","{Num} more option...","Only ever used for {Num} = 1, variable can be omited","{Num} = number","UI","#interface
#combobox"
"Shared/Combobox/SelectColor/LoadPreset","Load Preset","","","UI","#interface
#combobox"
