"Key","SourceString","Context","VariableDescription","Type","Tag"
"HUB/ActiveMilestone/Info/SelectMilestoneNotice","NOTICE:
Please select a Milestone","","","UI","#interface
#hub
#milestone"
"HUB/ActiveMilestone/Info/SelectTierNotice","NOTICE:
Please select a Tier ","","","UI","#interface
#hub
#tier"
"HUB/ActiveMilestone/LaunchPod/Button","LAUNCH POD","","","UI","#interface
#hub
#milestone"
"HUB/ActiveMilestone/Locked","Locked","","","UI","#interface
#hub
#milestone"
"HUB/ActiveMilestone/StartResearch/Button","Start Research","","","UI","#interface
#hub
#milestone"
"HUB/ActiveMilestone/Unlocked","Already Unlocked","","","UI","#interface
#hub
#milestone"
"HUB/ActiveMilestone/Upgrade/Button","UPGRADE HUB","","","UI","#interface
#hub
#milestone"
"HUB/ActiveMilestone/Upgrade/MilestoneCost","Milestone Cost","","","UI","#interface
#hub
#milestone"
"HUB/ActiveMilestone/Upgrade/Rewards","Rewards","","","UI","#interface
#hub
#milestone"
"HUB/CurrentMilestone/Info/Current","Current Milestone:","","","UI","#interface
#hub
#milestone"
"HUB/CurrentMilestone/Info/Current/None","No Milestone Selected","","","UI","#interface
#hub
#milestone"
"HUB/CurrentMilestone/Info/CurrentResearch","Current MAM Research:","","","UI","#interface
#hub
#milestone"
"HUB/CurrentMilestone/Info/Time/Pattern","{min}:{sec}","","{min} = number
{sec} = number","UI","#interface"
"HUB/Info/Button","Select Milestone","","","UI","#interface
#hub
#milestone"
"HUB/Info/Description","Description","","","UI","#interface
#hub"
"HUB/Info/PodReturnTime","Pod will return in:","","","UI","#interface
#hub"
"HUB/Info/Tab/ActiveMilestone","Active Milestone","","","UI","#interface
#hub
#milestone"
"HUB/Name","The HUB","","","UI","#interface
#hub"
"HUB/Rewards/HandEquipmentSlots/1","+1 Hand Equipment Slot","","","UI","#buildable
#interface
#hub
#reward"
"HUB/Rewards/HandEquipmentSlots/Pattern","+{numslots} Hand Equipment Slots","","{numslots} = number","UI","#buildable
#interface
#hub
#reward"
"HUB/Rewards/InventorySlot","Inventory Slot","","","UI","#buildable
#interface
#hub
#reward"
"HUB/Rewards/InventorySlot/Description","This reward grants the pioneer an additional inventory slot","","","UI","#buildable
#interface
#hub
#reward"
"HUB/Rewards/InventorySlots/Pattern","+{numslots} Inventory Slots","","{numslots} = number","UI","#buildable
#interface
#hub
#reward"
"HUB/Rewards/Map","Map","","","UI","#buildable
#interface
#hub
#reward"
"HUB/Rewards/Map/Description","This reward provides the pioneer with a map that can be accessed at any time","","","UI","#buildable
#interface
#hub
#reward"
"HUB/Rewards/NewBuilding","New Buildings","","","UI","#buildable
#interface
#hub
#reward"
"HUB/Rewards/NewDecor","New Decor","","","UI","#buildable
#interface
#hub
#reward"
"HUB/Rewards/NewEquipmet","New Equipment","","","UI","#buildable
#interface
#hub
#reward"
"HUB/Rewards/NewParts","New Parts","","","UI","#buildable
#interface
#hub
#reward"
