"Key","SourceString","Context","VariableDescription","Type","Tag"
"Arrows/Down","Down Arrow","","","Game",""
"Arrows/DownLeft","Down Left Arrow","","","Game",""
"Arrows/DownRight","Down Right Arrow","","","Game",""
"Arrows/Left","Left Arrow","","","Game",""
"Arrows/Right","Right Arrow","","","Game",""
"Arrows/Road/Down","Down Road Arrow","","","Game",""
"Arrows/Road/TurnAround","Turn Around Road Arrow","","","Game",""
"Arrows/Road/TurnLeft","Turn Left Road Arrow","","","Game",""
"Arrows/Road/TurnRight","Turn Right Road Arrow","","","Game",""
"Arrows/Road/Up","Up Road Arrow","","","Game",""
"Arrows/Up","Up Arrow","","","Game",""
"Arrows/UpLeft","Up Left Arrow","","","Game",""
"Arrows/UpRight","Up Right Arrow","","","Game",""
"Backgrounds/BlueprintGrid","Blueprint Grid","","","Game",""
"Backgrounds/Checkered","Checkered","","","Game",""
"Backgrounds/DiagonalLines","Diagonal Lines","","","Game",""
"Backgrounds/Dots","Dots","","","Game",""
"Backgrounds/FICSIT","FICSIT","","","Game",""
"Backgrounds/Gradient/Horizontal","Horizontal Gradient","","","Game",""
"Backgrounds/Gradient/Radial","Radial Gradient","","","Game",""
"Backgrounds/Gradient/Vertical","Vertical Gradient","","","Game",""
"Backgrounds/Grid","Grid","","","Game",""
"Backgrounds/Rectangles","Rectangles","","","Game",""
"Backgrounds/Wave","Wave","","","Game",""
"Emotes/BuildGunSpin","Twirl Build Gun Emote","","","Game",""
"Emotes/Clap","Clap Emote","","","Game",""
"Emotes/FacePalm","Facepalm Emote","","","Game",""
"Emotes/Heart","Heart Emote","","","Game",""
"Emotes/Paper","Paper Emote","","","Game",""
"Emotes/Point","Point Emote","","","Game",""
"Emotes/Rock","Rock Emote","","","Game",""
"Emotes/Scissors","Scissors Emote","","","Game",""
"Emotes/Wave","Wave Emote","","","Game",""
"FICSMAS/Backgrounds/CheckSnowflakes","FICSMAS Checkmark Snowflakes","","","Game",""
"FICSMAS/Backgrounds/Logo","FICSMAS Logo","","","Game",""
"FICSMAS/Backgrounds/Snowflake","FICSMAS Snowflake","","","Game",""
"FICSMAS/Backgrounds/UglySweater","FICSMAS Ugly Sweater","","","Game",""
"FICSMAS/Backgrounds/WrappingPaper","FICSMAS Wrapping Paper","","","Game",""
"FICSMAS/Berries","FICSMAS Berries","","","Game",""
"FICSMAS/Check","FICSMAS Checkmark","","","Game",""
"FICSMAS/Checkit","FICSMAS Checkit","","","Game",""
"Foundations/8x1","Foundation (8 m x 1 m)","","","Game",""
"Foundations/8x2","Foundation (8 m x 2 m)","","","Game",""
"Foundations/Frame/8x4","Frame Foundation (8 m x 4 m)","","","Game",""
"Game/Checkit","Checkit","","","Game",""
"Game/ColorGun","Color Gun","","","Game",""
"Game/Fence","Fence","","","Game",""
"Game/RifleCartridge","Rifle Cartridge","","","Game",""
"Game/SpikedRebar","Spiked Rebar","","","Game",""
"Game/Vehicles/Explorer","Vehicle: Explorer","","","Game",""
"Game/Vehicles/FactoryCart","Vehicle: Factory Cart","","","Game",""
"Game/Vehicles/Tractor","Vehicle: Tractor","","","Game",""
"Game/Vehicles/Train","Vehicle: Train","","","Game",""
"Game/Vehicles/Truck","Vehicle: Truck","","","Game",""
"Icons/Checkmark","Small FICSIT Checkmark","","","Game",""
"Icons/Drop","Droplet","","","Game",""
"Icons/ExitDoor","Exit Door","","","Game",""
"Icons/Factory","Factory","","","Game",""
"Icons/FiCSITCheckMark","FICSIT Checkmark","","","Game",""
"Icons/House","Home, House","","","Game",""
"Icons/None","None","","","Game",""
"Icons/Pioneer","Player, pioneer","","","Game",""
"Icons/Power","Power","","","Game",""
"Icons/QuestionMark","Question Mark","","","Game",""
"Icons/Radiation","Radiation","","","Game",""
"Icons/Recycle","Recycle","","","Game",""
"Icons/StopX","Stop X","","","Game",""
"Icons/StorageCrate","Storage Crate","","","Game",""
"Icons/ThumbDown","Thumbs Down","","","Game",""
"Icons/ThumbUp","Thumbs Up","","","Game",""
"Icons/Trash","Trash","","","Game",""
"Icons/Warning","Warning","","","Game",""
"MapIcons/Berry","Berry","","","Game",""
"MapIcons/Cave","Cave","","","Game",""
"MapIcons/Crash","Crash","","","Game",""
"MapIcons/Crate","Crate","","","Game",""
"MapIcons/Creature","Creature","","","Game",""
"MapIcons/ExclamationMark","Exclamation Mark","","","Game",""
"MapIcons/Fluids","Fluids","","","Game",""
"MapIcons/Fruit","Fruit","","","Game",""
