"Key","SourceString","Context","VariableDescription","Type","Tag"
"Categories/AdvancedRefinement","Advanced Refinement","Items category","","Game","#item"
"Categories/AlienRemains","Alien Remains","Items category","","Game","#item"
"Categories/Ammunition","Ammunition","Items category","","Game","#item"
"Categories/Biomass","Biomass","Items category","","Game","#item"
"Categories/BodyEquipment","Body Equipment","Items category","","Game","#item"
"Categories/Communications","Communications","Items category","","Game","#item"
"Categories/Compounds","Compounds","Items category","","Game","#item"
"Categories/Consumables","Consumables","Items category","","Game","#item"
"Categories/Containers","Containers","Items category","","Game","#item"
"Categories/Electronics","Electronics","Items category","","Game","#item"
"Categories/Equipment","Equipment","Items category","","Game","#item"
"Categories/FICSMAS","FICSMAS","Items category","","Game","#item"
"Categories/Fuel","Fuel","Items category","","Game","#item"
"Categories/IndustrialParts","Industrial Parts","Items category","","Game","#item"
"Categories/Ingots","Ingots","Items category","","Game","#item"
"Categories/Nuclear","Nuclear","Items category","","Game","#item"
"Categories/Oil","Oil","Items category","","Game","#item"
"Categories/OilProducts","Oil Products","Items category","","Game","#item"
"Categories/Other","Other","Items category","","Game","#item"
"Categories/Packaging","Packaging","Items category","","Game","#item"
"Categories/Plastic","Plastic","Items category","","Game","#item"
"Categories/PowerShards","Power Shards","Items category","","Game","#item"
"Categories/QuantumTechnology","Quantum Technology","Items category","","Game","#item"
"Categories/RawMaterials","Raw Materials","Items category","","Game","#item"
"Categories/RawResourceConversion","Raw Resource Conversion","Items category","","Game","#item"
"Categories/Rubber","Rubber","Items category","","Game","#item"
"Categories/SpaceElevator","Space Elevator","Items category","","Game","#item"
"Categories/StandardParts","Standard Parts","Items category","","Game","#item"
"Categories/Tools","Tools","Items category","","Game","#item"
"Categories/Unpackaging","Unpackaging","Items category","","Game","#item"
"Categories/Water","Water","Items category","","Game","#item"
"Categories/Weapon","Weapons","Items category","","Game","#item"
"Enviroment/HardDrive","Hard Drive","","","Game","#resources
#item"
"Enviroment/HardDrive/Description","Contains FICSIT data. Analyze it in the MAM to salvage its contents.","","","Game","#resources
#item"
"Enviroment/PowerShard","Power Shard","","","Game","#resource #item"
"Enviroment/PowerShard/Description","Power Slug mucus compressed into a solid crystal-like shard. 
It radiates a strange power.","","","Game","#resource #item"
"Enviroment/PowerShard/Synthetic","Synthetic Power Shard","","","Game","#recipe
#item"
"Enviroment/PowerShardAlien","Alien Power Shard","","","Game","#resource #item"
"Enviroment/PowerShardAlien/Description","Boosts production at the cost of increased energy consumption.","","","Game","#resource #item"
"Enviroment/PowerSlug/Blue","Blue Power Slug","A collectible used to craft Power Shards, which enable overclocking of buildings. They appear as glowing immobile slugs and can found around the world.","","Game","#resources"
"Enviroment/PowerSlug/Blue/Description","A strange slug radiating an unknown weak power.","A collectible used to craft Power Shards, which enable overclocking of buildings. They appear as glowing immobile slugs and can found around the world.","","Game","#resources"
"Enviroment/PowerSlug/NameForScanner","Power Slugs","Collectibles used to craft Power Shards, which enable overclocking of buildings. They appear as glowing immobile slugs and can found around the world.","","Game","#resources"
"Enviroment/PowerSlug/Purple","Purple Power Slug","A collectible used to craft Power Shards, which enable overclocking of buildings. They appear as glowing immobile slugs and can found around the world.","","Game","#resources"
"Enviroment/PowerSlug/Purple/Description","A strange slug radiating a powerful unknown power.","A collectible used to craft Power Shards, which enable overclocking of buildings. They appear as glowing immobile slugs and can found around the world.","","Game","#resources"
"Enviroment/PowerSlug/Yellow","Yellow Power Slug","A collectible used to craft Power Shards, which enable overclocking of buildings. They appear as glowing immobile slugs and can found around the world.","","Game","#resources"
"Enviroment/PowerSlug/Yellow/Description","A strange slug radiating an unknown power.","A collectible used to craft Power Shards, which enable overclocking of buildings. They appear as glowing immobile slugs and can found around the world.","","Game","#resources"
"Environment/CrashDebris","Crash Debris","","","Game",""
"Environment/Geyser","Geyser","","","Game","#resource #item"
"Environment/Geyser/Description","Turns the Geothermal Generator turbines.","","","Game","#resource #item"
"Environment/HatcherRemains","Hatcher Remains","","","Game","#resource
#item"
"Environment/HatcherRemains/Description","The shell-like remains of an alien... thing.
Used for MAM research.","","","Game","#resource
#item"
"Environment/MercerSphere","Mercer Sphere","","","Game","#prototype
#item"
"Environment/MercerSphere/Description","A weird alien phenomenon. While the sphere appears liquid, it behaves like a solid and does not have any detectable mass. It seems to somehow interact with and have awareness of its environment.","","","Game","#prototype
#item"
"Environment/Somersloop","Somersloop","","","Game","#prototype
#item"
"Environment/Somersloop/Description","An odd alien object with a mind-bending, yet somehow familiar shape. It emits an unsettling energy.","","","Game","#prototype
#item"
"Materials/AluminaSolution","Alumina Solution","","","Game","#resource
#item"
"Materials/AluminaSolution/Abbreviation","AL","","","",""
"Materials/AluminaSolution/Description","Dissolved Alumina, extracted from Bauxite. Can be further refined into Aluminum Scrap for Aluminum Ingot production.","","","Game","#resource
#item"
"Materials/AluminaSolutionPackaged","Packaged Alumina Solution","","","Game","#resource
#item"
"Materials/AluminaSolutionPackaged/Abbreviation","AL","","","Game","#resource
#item"
"Materials/AluminaSolutionPackaged/Description","Alumina Solution, packaged for alternative transport.","","","Game","#resource
#item"
"Materials/AluminaSolutionSloppy","Alternate: Sloppy Alumina","","","Game","#alternate
#schematic
#item"
"Materials/AluminaSolutionUnpackaged","Unpackage Alumina Solution","","","Game","#recipe
#item"
"Materials/Bauxite","Bauxite","","","Game","#resource
#raw
#item"
"Materials/Bauxite/Abbreviation","Baux","","","Game","#resource
#raw
#item"
"Materials/Bauxite/Caterium","Bauxite (Caterium)","Resource conversion option","","Game","#recipe
#item"
"Materials/Bauxite/Copper","Bauxite (Copper)","Resource conversion option","","Game","#recipe
#item"
"Materials/Bauxite/Description","Used to produce Alumina, which can be further refined into the Aluminum Scrap required to produce Aluminum Ingots.","","","Game","#resource
#raw
#item"
"Materials/BiofuelLiquidPackaged","Packaged Liquid Biofuel","","","Game","#resource
#item"
"Materials/BiofuelLiquidPackaged/Abbreviation","Bio","","","Game","#resource
#item"
"Materials/BiofuelLiquidPackaged/Description","Liquid Biofuel, packaged for alternative transport. Can be used as fuel for vehicles and the Jetpack.","","","Game","#resource
#item"
"Materials/BiofuelSolid","Solid Biofuel","","","Game","#resource
#item"
"Materials/BiofuelSolid/Description","The most energy-efficient form of solid Biomass. Can be used as fuel for the Chainsaw.","","","Game","#resource
#item"
"Materials/Biomass","Biomass","","","Game","#resource
#item"
"Materials/Biomass/AlienCarapace","Biomass (Alien Carapace)","Constructor option","","Game","#recipe
#item"
"Materials/Biomass/AlienOrgans","Biomass (Alien Organs)","Constructor option","","Game","#recipe
#item"
"Materials/Biomass/AlienProtein","Biomass (Alien Protein)","Constructor option","","Game","#recipe
#item"
"Materials/Biomass/Description","Primarily used as fuel.
Biomass Burners and vehicles can use it for power.
Biomass is much more energy-efficient than raw biological matter.","","","Game","#resource
#item"
"Materials/Biomass/Leaves","Biomass (Leaves)","Constructor option","","Game","#recipe
#item"
"Materials/Biomass/Mycelia","Biomass (Mycelia)","Constructor option","","Game","#recipe
#item"
"Materials/Biomass/Wood","Biomass (Wood)","Constructor option","","Game","#recipe
#item"
"Materials/BlackPowder","Black Powder","","","Game","#resource
#item"
"Materials/BlackPowder/Description","An explosive powder that is commonly used to produce simple explosives.","","","Game","#resource
#item"
"Materials/BlackPowderFine","Alternate: Fine Black Powder","","","Game","#alternate
#schematic
#item"
"Materials/BlackPowderSmokeless","Smokeless Powder","","","Game","#resource
#item"
"Materials/BlackPowderSmokeless/Description","An explosive powder that is commonly used to produce modern firearms.","","","Game","#resource
#item"
"Materials/CateriumOre","Caterium Ore","","","Game","#resource
#raw
#item"
"Materials/CateriumOre/Abbreviation","Cat","","","Game","#resource
#raw
#item"
"Materials/CateriumOre/Copper","Caterium Ore (Copper)","Resource conversion option","","Game","#recipe
#item"
"Materials/CateriumOre/Description","Smelted into Caterium Ingots, which are primarily used for advanced electronics.","","","Game","#resource
#raw
#item"
"Materials/CateriumOre/Quartz","Caterium Ore (Quartz)","Resource conversion option","","Game","#recipe
#item"
"Materials/Coal","Coal","","","Game","#resource
#raw
#item"
"Materials/Coal/Description","Mainly used as fuel for vehicles & Coal-Powered Generators, or in Steel production.","","","Game","#resource
#raw
#item"
"Materials/Coal/FunnyName","cOaL","","","Game","#resource
#raw
#item"
"Materials/Coal/Iron","Coal (Iron)","Resource conversion option","","Game","#recipe
#item"
"Materials/Coal/Limestone","Coal (Limestone)","Resource conversion option","","Game","#recipe
#item"
"Materials/CoalBio","Alternate: Biocoal","","","Game","#alternate
#schematic
#item"
"Materials/CoalCharcoal","Alternate: Charcoal","","","Game","#alternate
#schematic
#item"
"Materials/CompactedCoal","Compacted Coal","","","Game","#resource
#item"
"Materials/CompactedCoal/Abbreviation","Comp","","","Game","#resource
#item"
"Materials/CompactedCoal/Description","A much more efficient alternative to Coal. Used as fuel for vehicles and Coal-Powered Generators.","","","Game","#resource
#item"
"Materials/CompactedCoalAlt","Alternate: Compacted Coal","","","Game","#alternate
#schematic
#item"
"Materials/Concrete","Concrete","","","Game","#resource
#item"
"Materials/Concrete/Abbreviation","Con","","","Game","#resource
#item"
"Materials/Concrete/Description","Used for building.
Good for stable Foundations.","","","Game","#resource
#item"
"Materials/ConcreteFine","Alternate: Fine Concrete","","","Game","#alternate
#schematic
#item"
"Materials/ConcreteRubber","Alternate: Rubber Concrete","","","Game","#alternate
#schematic
#item"
"Materials/ConcreteWet","Alternate: Wet Concrete","","","Game","#alternate
#schematic
#item"
"Materials/CopperOre","Copper Ore","","","Game","#resource
#raw
#item"
"Materials/CopperOre/Abbreviation","Cop","","","Game","#resource
#raw
#item"
"Materials/CopperOre/Description","Used for crafting.
A basic resource primarily used for electricity.","","","Game","#resource
#raw
#item"
"Materials/CopperOre/Quartz","Copper Ore (Quartz)","Resource conversion option","","Game","#recipe
#item"
"Materials/CopperOre/Sulfur","Copper Ore (Sulfur)","Resource conversion option","","Game","#recipe
#item"
"Materials/CopperPowder","Copper Powder","","","Game","#resource
#item"
"Materials/CopperPowder/Abbreviation","Cop","","","Game","#resource
#item"
"Materials/CopperPowder/Description","Ground-up Copper Ingots.
The high natural density of Copper, combined with the granularity of the powder, makes this part perfect for producing Nuclear Pasta in the Particle Accelerator.","","","Game","#resource
#item"
"Materials/CrudeOil","Crude Oil","","","Game","#resource
#raw
#item"
