"Key","SourceString","Context","VariableDescription","Type","Tag"
"Categories/AlienOrganisms","Alien Megafauna","MAM research catalog","","Game",""
"Categories/AlienOrganisms/PostUnlockDescription","Samples collected from local megafauna can be used to produce applicable pioneer survival tools, and will also further FICSIT research into extraterrestrial lifeforms and nutritional programs.","MAM research catalog","","Game",""
"Categories/AlienOrganisms/PreUnlockDescription","Scans of MASSAGE-2 (AB)b have revealed the presence of several large alien lifeforms in the designated FICSIT zone. Retrieval and research are necessary to establish threat level, classification, and potential applications.","MAM research catalog","","Game",""
"Categories/AlienOrganisms/ResearchTree/BioOrganicProperties","Bio-Organic Properties","MAM research catalog","","Game",""
"Categories/AlienOrganisms/ResearchTree/HatcherResearch","Hatcher Research","MAM research catalog","","Game",""
"Categories/AlienOrganisms/ResearchTree/HogResearch","Hog Research","MAM research catalog","","Game",""
"Categories/AlienOrganisms/ResearchTree/HostileOrganismDetection","Hostile Organism Detection","MAM research catalog","","Game",""
"Categories/AlienOrganisms/ResearchTree/InflatedPocketDimention","Inflated Pocket Dimension","MAM research catalog","","Game",""
"Categories/AlienOrganisms/ResearchTree/ProteinInhaler","Protein Inhaler","MAM research catalog","","Game",""
"Categories/AlienOrganisms/ResearchTree/RebarGun","The Rebar Gun","MAM research catalog","","Game",""
"Categories/AlienOrganisms/ResearchTree/SpitterResearch","Spitter Research","MAM research catalog","","Game",""
"Categories/AlienOrganisms/ResearchTree/SplitterResearch","Spitter Research","MAM research catalog","","Game",""
"Categories/AlienOrganisms/ResearchTree/StingerResearch","Stinger Research","MAM research catalog","","Game",""
"Categories/AlienOrganisms/ResearchTree/StructuralAnalysis","Structural Analysis","MAM research catalog","","Game",""
"Categories/AlienTechnology","Alien Technology","MAM research catalog","","Game",""
"Categories/AlienTechnology/PostUnlockDescription","These alien resources possess several unique and rare properties that, after years of careful study and experimentation, can now be utilized by FICSIT pioneers. Due to the unpredictable and volatile nature of this technology, every FICSIT pioneer must progress through a mandatory research and development structure. This ensures no catastrophic events relating to spatial manipulation or extra-dimensional matter harvesting will interfere with the Save the Day program.","MAM research catalog","","Game",""
"Categories/AlienTechnology/PreUnlockDescription","Scans of planet MASSAGE-2 (AB)b revealed the presence of several [REDACTED] phenomena. Exposure is necessary to indicate locally specific use-cases. Exposure to these phenomena has not resulted in any notable effects in humans so far.","MAM research catalog","","Game",""
"Categories/AlienTechnology/PreUnlockName","Classified Phenomena","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/AlienEnergyHarnessing","Alien Energy Harnessing","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/AlienPowerMatrix","Alien Power Matrix","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/DimensionalInventory","Manual Depot Uploader","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/DimensionalStorage","Dimensional Depot","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/DimensionalStorageExpansion200","Depot Expansion (200%)","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/DimensionalStorageExpansion300","Depot Expansion (300%)","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/DimensionalStorageExpansion400","Depot Expansion (400%)","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/DimensionalStorageExpansion500","Depot Expansion (500%)","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/DimensionalStorageRate060","Upload Upgrade: 30/min","MAM research catalog.
The upload rate was rebalanced and therefore the value in the string might not match the value in the key.","","Game",""
"Categories/AlienTechnology/ResearchTree/DimensionalStorageRate090","Upload Upgrade: 60/min","MAM research catalog.
The upload rate was rebalanced and therefore the value in the string might not match the value in the key.","","Game",""
"Categories/AlienTechnology/ResearchTree/DimensionalStorageRate120","Upload Upgrade: 120/min","MAM research catalog.
The upload rate was rebalanced and therefore the value in the string might not match the value in the key.","","Game",""
"Categories/AlienTechnology/ResearchTree/DimensionalStorageRate150","Upload Upgrade: 240/min","MAM research catalog.
The upload rate was rebalanced and therefore the value in the string might not match the value in the key.","","Game",""
"Categories/AlienTechnology/ResearchTree/MercerSphereAnalysis","Mercer Sphere Analysis","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/PowerAugmenter","Power Augmenter","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/ProductionAmplifier","Production Amplifier","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/SAMAnalysis","SAM Analysis","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/SAMFluctuator","SAM Fluctuator","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/SAMReactivation","SAM Reanimation","MAM research catalog","","Game",""
"Categories/AlienTechnology/ResearchTree/SomersloopAnalysis","Somersloop Analysis","MAM research catalog","","Game",""
"Categories/Caterium","Caterium","MAM research catalog","","Game",""
"Categories/Caterium/PostUnlockDescription","Named after FICSIT's greatest CEO, Caterina Parks, Caterium is a new metal with properties similar to gold, such as conductivity and corrosion resistance. With minimal effort, it can be used to replace gold in the development of advanced electronics. It is unclear whether this is a naturally occuring element.","MAM research catalog","","Game",""
"Categories/Caterium/PreUnlockDescription","Scans of planet MASSAGE-2 (AB)b revealed a metallic element as a potential new candidate for group 11 on the periodic table. Retrieval and research are necessary to establish classification and applications.","MAM research catalog","","Game",""
"Categories/Caterium/PreUnlockName","Unknown Metal","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/AILimiter","AI Limiter","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/BladeRunners","Blade Runners","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/BulletGuidanceSystem","Bullet Guidance System","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/CateriumElectronics","Caterium Electronics","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/GeothermalGenerator","Geothermal Generator","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/HighSpeedConnector","High-Speed Connector","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/InflatedPocketDimention","Inflated Pocket Dimension","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/Ingots","Caterium Ingots","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/NewProduct/UnlockName","New Shop Products!","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/PowerPolesMk.2","Power Poles Mk.2","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/PowerPolesMk.3","Power Poles Mk.3","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/PowerSwitch","Power Switch","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/PriorityPowerSwitch","Priority Power Switch","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/ProgrammableSplitter","Programmable Splitter","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/Quickwire","Quickwire","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/SmartSplitter","Smart Splitter","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/StunRebar","Stun Rebar","MAM research catalog","","Game",""
"Categories/Caterium/ResearchTree/Zipline","Zipline","MAM research catalog","","Game",""
"Categories/FICSMAS","FICSMAS Holiday Event","MAM research catalog. Opens annually by Christmas. MAM tree contains seasonal equipment, decoration and upgrades","","Game",""
"Categories/FICSMAS/PostUnlockDescription","The FICSMAS seasonal event is active during the months of December and January on Earth. This MAM tree contains recipes, decorations, and progression of the Giant FICSMAS Tree. Special Event Data Cartridges necessary for unlocking new branches in the MAM can be found in the Event Calendar. 

Any resemblance to external holidays, celebrations, seasonal events, traditions, cultural or religious, historical or contemporary, and/or their products, is entirely intended and by design. Because FICSIT cares about its employees and their diverse backgrounds.","MAM research catalog. Opens annually by Christmas. MAM tree contains seasonal equipment, decoration and upgrades","","Game",""
"Categories/FICSMAS/PreUnlockDescription","Unfortunately it is time for a FICSIT seasonal event taking place during the Earth months of December and January. This MAM tree will be unlocked by using the Calendar in the HUB. It is never too late to opt out of this event, but of course the earlier the better.","MAM research catalog. Opens annually by Christmas. MAM tree contains seasonal equipment, decoration and upgrades","","Game",""
"Categories/FICSMAS/PreUnlockName","FICSMAS Holiday Event","MAM research catalog. Opens annually by Christmas. MAM tree contains seasonal equipment, decoration and upgrades","","Game",""
"Categories/FICSMAS/ResearchTree/CandyCaneBasher","Candy Cane Basher","MAM research catalog. Opens annually by Christmas. MAM tree contains seasonal equipment, decoration and upgrades","","Game",""
"Categories/FICSMAS/ResearchTree/CandyCaneDecor","Candy Cane Decor","MAM research catalog. Opens annually by Christmas. MAM tree contains seasonal equipment, decoration and upgrades","","Game",""
