"Key","SourceString","Context","VariableDescription","Type","Tag"
"MapMarker/Apply/Button","Apply","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/AvailableMarkersAndStampsWithLabel/Pattern","<White12Reg>Available Markers and Stamps:</>
<Orange12Reg>{Current} / {Max}</>","Menu for adding and customizing map markers. Used to mark places of interests on the map","{Current} = number, current number of stamps
{Max} = number, max number of stamps","UI",""
"MapMarker/HighlightMarkerTurnOff/Button","Stop Highlighting Marker","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/HighlightMarkerTurnOn/Button","Highlight Marker","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/HightlightStampTurnOff/Button","Stop Highlighting Stamp","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/HightlightStampTurnOn/Button","Highlight Stamp","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/MarkerSizeOnMap","Marker Size on Map:","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/MarkerSizeOnMap/Large","Large","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/MarkerSizeOnMap/Regular","Regular","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/MarkerViewDistanceOnCompass","Marker View Distance on Compass:","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/MarkerViewDistanceOnCompass/Far","Far","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/MarkerViewDistanceOnCompass/Infinite","Infinite","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/MarkerViewDistanceOnCompass/Medium","Medium","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/MarkerViewDistanceOnCompass/Near","Near","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/MarkerViewDistanceOnCompass/Off","Off","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/MarkerVisuals","Marker Visuals:","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/MarkerVisuals/Color","Select Color","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/MarkerVisuals/Icon","Select Icon","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/Name","Name:","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/Name/DefaultName","New Marker","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/Name/TextBoxHint","Enter Name...","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/NewMapMarker/Button","New Map Marker","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/RemoveMarker/Button","Remove Marker","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/RemoveStamp/Button","Remove Stamp","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/StampAdded/Notification","Stamp Added!","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/Subcategory","Subcategory:","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMarker/Subcategory/TextBoxHint","Enter Subcategory Name...","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMenu/AccessMap/Button","Access Map","","","UI","#gamepads"
"MapMenu/AccessMenu/Button","Access Menu","","","UI","#gamepads"
"MapMenu/Filter/Categories/Crates","Crates","","","UI",""
"MapMenu/Filter/Categories/Crates/Death","Death Crates","Category Name for crates that are created when a player dies","","UI",""
"MapMenu/Filter/Categories/Crates/Dismantle","Dismantle Crates","Category Name for crates that are created when a player dismantles a building, but doesn't have enough inventory space for all the resulting resources.","","UI",""
"MapMenu/Filter/Categories/DronePorts","Drone Ports","","","UI",""
"MapMenu/Filter/Categories/Drones","Drones","","","UI",""
"MapMenu/Filter/Categories/Elevator","Space Elevator","","","UI",""
"MapMenu/Filter/Categories/HUB","HUB","","","UI",""
"MapMenu/Filter/Categories/MapMarkers","Map Markers","","","UI",""
"MapMenu/Filter/Categories/Other","Other","","","UI",""
"MapMenu/Filter/Categories/Pings","Pings","","","UI",""
"MapMenu/Filter/Categories/Players","Players","","","UI",""
"MapMenu/Filter/Categories/Portals","Portals","","","",""
"MapMenu/Filter/Categories/RadarTowers","Radar Towers","","","UI",""
"MapMenu/Filter/Categories/Resources","Resources","","","UI",""
"MapMenu/Filter/Categories/Stamps","Stamps","","","UI",""
"MapMenu/Filter/Categories/StartingPod","Starting Pod","","","UI",""
"MapMenu/Filter/Categories/TrainStations","Train Stations","","","UI",""
"MapMenu/Filter/Categories/Trains","Trains","","","UI",""
"MapMenu/Filter/Categories/TruckStations","Truck Stations","","","UI",""
"MapMenu/Filter/Categories/Vehicles","Vehicles","","","UI",""
"MapMenu/Filter/CategoryCollapseExpand/Button","Collapse/Expand Category","","","UI",""
"MapMenu/Filter/CategoryCollapseExpand/Description","Collapses/expands the category, hiding/showing all its objects.","","","UI",""
"MapMenu/Filter/CategoryShowHideAll/Button","Show/Hide All on Map","","","UI",""
"MapMenu/Filter/CategoryShowHideAll/Description","Shows/hides all objects in this category on the Map.","","","UI",""
"MapMenu/Filter/CategoryShowHideOnCompass/Button","Show/Hide All on Compass","","","UI",""
"MapMenu/Filter/CategoryShowHideOnCompass/Description","Shows/hides all objects in this category on the Compass.","","","UI",""
"MapMenu/Filter/Filter/Button","Filter","","","UI","interface
#minimap"
"MapMenu/Filter/HiddenLocation/Pattern","{name} (Hidden)","","{name} = text, location name","UI",""
"MapMenu/Filter/ResourceStatuses/Claimed","Claimed","","","UI",""
"MapMenu/Filter/ResourceStatuses/Unclaimed","Unclaimed","","","UI",""
"MapMenu/Filter/ShowStampsOnMap/Button","Show Stamps on Map","","","UI",""
"MapMenu/Filter/SubcategoryCollapseExpand/Button","Collapse/Expand Subcategory","","","UI",""
"MapMenu/Filter/SubcategoryCollapseExpand/Description","Collapses/expands the subcategory, hiding/showing all its objects.","","","UI",""
"MapMenu/HideMenu/Button","Hide Menu","","","UI",""
"MapMenu/Navigation/Coordinates/LoadingProgressText","Coordinates loading...","","","UI","#gamepads"
"MapMenu/Navigation/Coordinates/Pattern","Coordinates:  {x}, {y}","Menu for adding and customizing map markers. Used to mark places of interests on the map","{x} = number, X asix
{y} = number, Y asix","UI",""
"MapMenu/Navigation/NavigateTo","Navigate to:","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMenu/Navigation/NavigateTo/TextBoxHint","Coordinates...","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI",""
"MapMenu/NoAvailableMarkersAndStamps/Notification","No more Stamps or Markers available!","","","UI",""
"MapMenu/ShowMenu/Button","Show Menu","","","UI",""
"MapMenu/WindowHeader","Map","","","UI",""
"MapRepresentation/Crate/Death","Death Crate","Name for crates that are created when a player dies","","UI",""
"MapRepresentation/Crate/Dismantle","Dismantle Crate","Name for crates that are created when a player dismantles a building, but doesn't have enough inventory space for all the resulting resources.","","UI",""
