"Key","SourceString","Context","VariableDescription","Type","Tag"
"AGS/Gameplay/GiveItems/Back/Button","Back","","","UI","#ags"
"AGS/Gameplay/GiveItems/GiveItem/Button","Give Item","","","UI","#ags"
"AGS/Gameplay/GiveItems/GiveStacks/Button","Give Stacks","","","UI","#ags"
"AGS/Gameplay/GiveItems/NoSpace","There was not enough room in your inventory, some items may not have been placed in your inventory.","","","UI","#ags"
"AGS/Gameplay/GiveItems/SelectItems/Button","Select items to give","","","UI","#ags"
"AGS/Gameplay/GiveItems/WindowTitle","Select items to give...","","","UI","#ags"
"Account/Info/NoNetworkConnection","No Network Connection.","Info in the EOS Login Widget instead of the login button when there is no connection to the internet","","",""
"Account/Overlay/Reauth","Re-Authenticating.","Main Menu full screen overlay when an invalid connection state to platform services was detected and we are currently fixing it by re-authenticating the user. This can take a while when this happens too often due to rate limits, so we need to show a blocking overlay. Can be triggered by disconnecting and reconnecting the lan cable","","",""
"Accounts/ConnectAccounts/Close/Button","Close","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/ConnectionStatus/Working","Working...","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/ConnectionStatus/WorkingCheckBrowser","Working...
Check browser","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/ContinueNoMultiplayer/Button","Continue without multiplayer","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/CrossPlay","<Header>Set up a new </><HeaderOrange>EOS connection</><Header> for your Steam account</>","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/CrossPlay/BulletPoint1","No Epic Game Store account needed","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/CrossPlay/BulletPoint2","Find your Steam friends ingame","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/CrossPlay/BulletPoint3","Play Cross-Play via Search for Session ID","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/CrossPlay/Intro","<Regular>We use </><RegularOrange>Epic Online Services (EOS)</><Regular> to handle multiplayer, which allows us to enable Cross-Play.</>
<Regular>To play Satisfactory, you will have to connect to </><RegularOrange>EOS</><Regular> via the Epic Games Store or Steam.</>","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/Epic/Ok/Button","OK","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/Epic/Share/Body","You're currently logged in to the Epic Games Store with the account '{AccountName}'.

Is this the account you want to share a connection with?","Connecting account UI","{AccountName} = text, account name","UI","#interface"
"Accounts/ConnectAccounts/Epic/Share/Title","Log in to Epic Account","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/Epic/Share/WithAccount/Button/Pattern","Share EOS connection with {AccountName}","Connecting account UI","{AccountName} = text, account name","UI","#interface"
"Accounts/ConnectAccounts/Epic/Share/WithDifferentAccount/Button","Share EOS connection with different Account","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/FullCrossPlay","<Header>Share </><HeaderOrange>EOS connection</><Header> between your Steam and Epic Games Store accounts</>","Enabling crossplay UI","","UI","#interface"
"Accounts/ConnectAccounts/FullCrossPlay/BulletPoint1","Requires logging in to an existing Epic Games Store account","Enabling crossplay UI","","UI","#interface"
"Accounts/ConnectAccounts/FullCrossPlay/BulletPoint2","Find your Epic & Steam friends ingame","Enabling crossplay UI","","UI","#interface"
"Accounts/ConnectAccounts/FullCrossPlay/BulletPoint3","Play Cross-Play by simply joining your friends in game","Enabling crossplay UI","","UI","#interface"
"Accounts/ConnectAccounts/Intro/Title","<Header>Before you start...</>","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/NoMultiplayer/Body","We haven't received a response from EOS. This will let you play offline in the event that EOS servers are offline. If you want to play online later, please restart the game.","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/NoteChooseWithCare","IMPORTANT:
Please choose with care. You will only be able to change this in the future by contacting our support.","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/NoteLinkBothNowOrNever","IMPORTANT: If you do not link your Steam and Epic account to the same EOS connection now, you won't be able to do so later.","Connecting account UI","","UI","#interface"
"Accounts/ConnectAccounts/ResetLinking/Button","Reset Account Linking","Linking account UI","","UI","#interface"
"Accounts/ConnectAccounts/ResetLinking/Note","IMPORTANT:
You can reset your account linking at any time in Options > Online. For further assistance, please contact our support.","Linking account UI","","UI","#interface"
"Accounts/Errors/Critical/Body","Account connection widget class is invalid!
Login and setup will not be able to continue and will likely result in serious issues.

Please restart the game. If the issue persists, please report this issue.","Connecting account UI","","UI","#interface"
"Accounts/Errors/Critical/aTitle","Critical Login Error","Connecting account UI","","UI","#interface"
"Accounts/Notifications/FailedToLogIn","Failed to log in to the online service. You need to relaunch the game from the launcher to log in again (sorry for the temporary solution).","A warning message related to server","","UI","#interface"
"Accounts/Notifications/LoggedOut","You were sent back to the Main Menu because you were logged out from the online service. Your game was autosaved. You need to relaunch the game from the launcher to log in again (sorry for the temporary solution).","A warning message related to server","","UI","#interface"
"Accounts/Notifications/LostConnection","You were sent back to the Main Menu as you lost connection with the online service. Your game was autosaved. You need to relaunch the game from the launcher to log in again (sorry for the temporary solution).","A warning message related to server","","UI","#interface"
"Accounts/ResetAccountsLinking/Confirm/Button","Confirm","Linking account UI","","UI","#interface"
"Accounts/ResetAccountsLinking/Continue/Button","Continue","Linking account UI","","UI","#interface"
"Accounts/ResetAccountsLinking/Error","An error occurred.

Please restart the game and try again.","Linking account UI","","UI","#interface"
"Accounts/ResetAccountsLinking/Status/Resetting","Resetting Account Linking","Linking account UI","","UI","#interface"
"Accounts/ResetAccountsLinking/Unlinked","Your accounts have been successfully unlinked!","Linking account UI","","UI","#interface"
"Accounts/ResetLinking/Confirm/Body","You are about to unlink this account. Do you want to proceed?","Linking account UI","","UI","#interface"
"Accounts/ResetLinking/NoAccount/Body","No account is currently logged in.","Linking account UI","","UI","#interface"
"Accounts/ResetLinking/PleaseTurnItOffAndOnAgain","Something went wrong. Please restart the game and try again.","Linking account UI","","UI","#interface"
"Accounts/ResetLinking/aTitle","Reset Account Linking","Linking account UI","","UI","#interface"
"Errors/ErrorCodeMessage/HideInfo","Hide Advanced Info","","","UI",""
"Errors/ErrorCodeMessage/ShowInfo","Show Advanced Info","","","UI",""
"Games/AGS/ApplyChanges/Button","Apply","","","UI","#ags"
"Games/AGS/ApplyChanges/Description","Are you sure you want to apply the changes?","","","UI","#ags"
