"Key","SourceString","Context","VariableDescription","Type","Tag"
"ConstructDisqualifiers/Belts/InvalidShape","Invalid Conveyor Belt shape!","Warning message. Appears when you're building Conveyor Belt","","UI","#message #transportation"
"ConstructDisqualifiers/Belts/SnapToConveyorPole","Conveyor Belt must snap to a Conveyor Pole or a building Input/Output!","Warning message. Appears when you're building Conveyor Belt","","UI","#message #transportation"
"ConstructDisqualifiers/Belts/TooLong","Conveyor Belt is too long!","Warning message. Appears when you're building Conveyor Belt","","UI","#message #transportation"
"ConstructDisqualifiers/Belts/TooSharp","Conveyor Belt turns too sharply to attach!","Warning message. Appears when you're building Conveyor Belt","","UI","#message #transportation"
"ConstructDisqualifiers/Belts/TooShort","Conveyor Belt is too short!","Warning message. Appears when you're building Conveyor Belt","","UI","#message #transportation"
"ConstructDisqualifiers/Belts/TooSteep","Conveyor Belt is too steep!","Warning message. Appears when you're building Conveyor Belt","","UI","#message #transportation"
"ConstructDisqualifiers/BlueprintDesigner/CannotBePlaced","Hologram cannot be placed in Blueprint Designer!","Warning message. Appears while interacting with Blueprint Designer","","UI","#message #bp"
"ConstructDisqualifiers/BlueprintDesigner/CannotConnect","Buildables in a designer cannot be connected to world buildables!","Warning message. Appears while interacting with Blueprint Designer","","UI","#message #bp"
"ConstructDisqualifiers/BlueprintDesigner/Overlapping","Partially overlapping Blueprint Designer!","Warning message. Appears while interacting with Blueprint Designer","","UI","#message #bp"
"ConstructDisqualifiers/BuildMode/CannotAfford","Missing materials!","Warning message. Appears when you're building something","","UI",""
"ConstructDisqualifiers/BuildMode/CannotSnapToFoundation","This building can't snap to foundations!","Warning message. Appears when you're building something","","UI",""
"ConstructDisqualifiers/BuildMode/CeilingRequired","Must be built on a ceiling!","Warning message. Appears when you're building something","","UI",""
"ConstructDisqualifiers/BuildMode/Clearance","Encroaching another object's clearance!","Warning message. Appears when you're building something","","UI",""
"ConstructDisqualifiers/BuildMode/CreatureInTheWay","A creature is in the way!","Warning message. Appears when you're building something","","UI",""
"ConstructDisqualifiers/BuildMode/FloorTooSteep","Surface is too uneven!","Warning message. Appears when you're building something","","UI",""
"ConstructDisqualifiers/BuildMode/IdenticalBuildable","An identical buildable is already built there!","Warning message. Appears when you're building something","","UI",""
