"Key","SourceString","Context","VariableDescription","Type","Tag"
"ProductivePacker/GameStats/HighestPackagePoints","Highest Package Points","Game stats window of the minigame FICSIT Productive Packer Deluxe","","UI","#prototype
#minigame"
"ProductivePacker/GameStats/MostFilledPackage","Most Filled Package","Game stats window of the minigame FICSIT Productive Packer Deluxe","","UI","#prototype
#minigame"
"ProductivePacker/GameStats/NewHighscore","NEW HIGH SCORE!","Game stats window of the minigame FICSIT Productive Packer Deluxe","","UI","#prototype
#minigame"
"ProductivePacker/GameStats/PackagesSent","Packages Sent","Game stats window of the minigame FICSIT Productive Packer Deluxe","","UI","#prototype
#minigame"
"ProductivePacker/GameStats/PlacedBlocks","Blocks Placed","Game stats window of the minigame FICSIT Productive Packer Deluxe","","UI","#prototype
#minigame"
"ProductivePacker/GameStats/PointsForSentPackage","POINTS FOR SENT PACKAGE:","Game stats window of the minigame FICSIT Productive Packer Deluxe","","UI","#prototype
#minigame"
"ProductivePacker/InGame/Amount/Pattern","x{amount}","Game inferface of the minigame FICSIT Productive Packer Deluxe","{amount} = number","UI","#prototype
#minigame"
"ProductivePacker/InGame/Bonus/Pattern","+{amount}","Game inferface of the minigame FICSIT Productive Packer Deluxe","{amount} = number, bonus","UI","#prototype
#minigame"
"ProductivePacker/InGame/FillBonus","FILL BONUS:","Game inferface of the minigame FICSIT Productive Packer Deluxe","","UI","#prototype
#minigame"
"ProductivePacker/InGame/Multiplier/Pattern","x{multiplier}","Game inferface of the minigame FICSIT Productive Packer Deluxe","{multiplier} = number, multiplier","UI","#prototype
#minigame"
"ProductivePacker/InGame/PackagePoints","PACKAGE POINTS:","Game inferface of the minigame FICSIT Productive Packer Deluxe","","UI","#prototype
#minigame"
"ProductivePacker/InGame/Send/Button","SEND","Game inferface of the minigame FICSIT Productive Packer Deluxe","","UI","#prototype
#minigame"
"ProductivePacker/InGame/Stats/Name/Pattern","{name}:","","{name} = text","UI",""
"ProductivePacker/InGame/Time","TIME:","Game inferface of the minigame FICSIT Productive Packer Deluxe","","UI","#prototype
#minigame"
"ProductivePacker/InGame/Time/Pattern","{time}s","Game inferface of the minigame FICSIT Productive Packer Deluxe","{time} = number, seconds","UI","#prototype
#minigame"
"ProductivePacker/InGame/Total/Pattern","={total}","Game inferface of the minigame FICSIT Productive Packer Deluxe","{total} = number, total sum","UI","#prototype
#minigame"
"ProductivePacker/InGame/TotalPoints","TOTAL POINTS:","Game inferface of the minigame FICSIT Productive Packer Deluxe","","UI","#prototype
#minigame"
"ProductivePacker/InGame/TotalPointsForDelivery","TOTAL POINTS FOR DELIVERY:","Game inferface of the minigame FICSIT Productive Packer Deluxe","","UI","#prototype
#minigame"
"ProductivePacker/LookAtDescription/Play/Pattern","Press {Use} to play {Name}","Look-at description tooltip","{Use} = text, key name
{Name} = text, localized name (Productive Packer)","UI","#common
#prototype
#look_at_description"
