"Key","SourceString","Context","VariableDescription","Type","Tag"
"Onboarding/Container/Objective","Onboarding Objective {number}:","","{number} = number, objective number","UI","interface
#onboarding"
"Onboarding/Container/Objective/BuildHUB","Build the HUB","","","UI","interface
#onboarding"
"Onboarding/Container/Objective/Introduction","Objective-Based Introduction","Replaces the Onboarding/Container/Objective string during Landing objective","","UI","interface
#onboarding"
"Onboarding/Container/POOP","Pioneer Obligatory Onboarding Program","","","UI","interface
#onboarding"
"Onboarding/Container/POOP/Congratulation/Body","You are now a certified Pioneer Obligatory Onboarding Program finisher.

Well done.","","","UI","interface
#onboarding"
"Onboarding/Container/POOP/Congratulation/Title","Congratulations.","","","UI","interface
#onboarding"
"Onboarding/Container/Tips","Tips:","","","UI","interface
#onboarding"
"Onboarding/Movement/Look.GamepadControls","Use <img id=""IA_LookAxis""/> to look","","","UI","#gamepads"
"Onboarding/Movement/Look/Shortcut/Pattern","Use {PlayerMovement_LookAxisX} to look around.","","{PlayerMovement_LookAxisX} = text, key name","UI","interface
#onboarding"
"Onboarding/Movement/Move.GamepadControls","Use <img id=""IA_MovementAxis""/> to move","","","UI","#gamepads"
"Onboarding/Movement/Move/Shortcut/Pattern","Use {PlayerMovement_Forward} {PlayerMovement_Left} {PlayerMovement_Back} {PlayerMovement_Right} to move.","","{PlayerMovement_Forward} = text, key name
{PlayerMovement_Left} = text, key name
{PlayerMovement_Back} = text, key name
{PlayerMovement_Right} = text, key name","UI","interface
#onboarding"
"OnboardingSteps/DismantleDropPod","Dismantle the Drop Pod","","","UI",""
"OnboardingSteps/DismantleDropPod/Objectives/0","Press {PlayerInterfaceActions_Dismantle} to enter Dismantle Mode.","","{PlayerInterfaceActions_Dismantle} = text, key name","UI","#onboarding
#drop_pod"
"OnboardingSteps/DismantleDropPod/Objectives/0.GamepadControls","Press <img id=""IA_ToggleBuildGunDismantle""/> to enter Dismantle Mode.","","","UI","#gamepads"
"OnboardingSteps/DismantleDropPod/Objectives/1","While in Dismantle Mode, hold {PlayerActions_PrimaryFire} to Dismantle.","","{PlayerActions_PrimaryFire} = text, key name","UI","#onboarding
#drop_pod"
