"Key","SourceString","Context","VariableDescription","Type","Tag"
"Build","Build","Mapping context name. Key bindings within one context are checked for conflicts. If there's a conflict, this name is used to tell the player in which context.","","UI","#input"
"Build/BuildGun/ChangeBuildMode","Change Build Mode","","","UI","#input"
"Build/BuildGun/Flashlight","Flashlight","","","UI","#input"
"Build/BuildGun/PrimaryFire","Primary Fire","","","UI","#input"
"Build/BuildGun/QuickSwitch","Quick Switch","","","UI","#input"
"Build/BuildGun/RotateHologramLeft","Rotate Hologram Left","","","UI","#input"
"Build/BuildGun/RotateHologramRight","Rotate Hologram Right","","","UI","#input"
"Build/BuildGun/SampleBuilding","Sample Building","","","UI","#input"
"Build/BuildGun/SecondaryFire","Secondary Fire","","","UI","#input"
"Build/BuildGun/ToggleHUD","Toggle HUD","","","UI","#input"
"Build/BuildGun/Unequip","Close","","","UI",""
"Build/BuildGunBuild/LockUnlockHologram","Lock/Unlock Hologram","","","UI","#input"
"Build/BuildGunBuild/NudgeBackward","Nudge Backward","","","UI","#input"
"Build/BuildGunBuild/NudgeForward","Nudge Forward","","","UI","#input"
"Build/BuildGunBuild/NudgeLeft","Nudge Left","","","UI","#input"
"Build/BuildGunBuild/NudgeRight","Nudge Right","","","UI","#input"
"Build/BuildGunBuild/SaveHologramToHotbar","Save Hologram to Hotbar","","","UI","#input"
"Build/BuildGunBuild/SnapToGuidelines","Snap to Guidelines","","","UI","#input"
"Build/BuildGunBuild/UnequipBuildgun","Unequip Build Gun","","","UI",""
"Build/BuildGunDismantle/ToggleMassDismantle","Toggle Mass Dismantle","","","UI","#input"
"Build/BuildGunPaint/CustomizerFilter","Customizer Filter","","","UI","#input"
"Build/DismantleFilter","Dismantle Filter","","","UI","#settings"
"BuildMenu/BuildMenu/FocusSearch","Focus Search Box","","","UI","#input"
"BuildMenu/BuildMenu/RightMouse","Right Mouse","","","UI","#input"
"CraftBench","Crafting Bench","Mapping context name. Key bindings within one context are checked for conflicts. If there's a conflict, this name is used to tell the player in which context.","","UI","#input"
"CraftBench/CraftBench/Craft","Craft","","","UI","#input"
