"Key","SourceString","Context","VariableDescription","Type","Tag"
"ACommon/ExperimentalFeature","Experimental Feature","","","Game","#settings"
"ACommonOptionValues/Far","Far","Used mostly in Video Settings for quality and preset values","","Game",""
"ACommonOptionValues/High","High","Used mostly in Video Settings for quality and preset values","","Game","#settings"
"ACommonOptionValues/Low","Low","Used mostly in Video Settings for quality and preset values","","Game","#settings"
"ACommonOptionValues/Medium","Medium","Used mostly in Video Settings for quality and preset values","","Game","#settings"
"ACommonOptionValues/Near","Near","Used mostly in Video Settings for quality and preset values","","Game",""
"ACommonOptionValues/Off","Off","Used mostly in Video Settings for quality and preset values","","Game","#settings"
"ACommonOptionValues/Performance","Performance","Used used in the video settings on steam deck.","","Game","#settings"
"ACommonOptionValues/Quality","Quality","Used used in the video settings on steam deck.","","Game","#settings"
"ACommonOptionValues/Ultra","Ultra","Used mostly in Video Settings for quality and preset values","","Game","#settings"
"AGS/Creatures/DisableArachnids","Arachnid Creatures","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Creatures/DisableArachnids/Description","Prevents arachnid creatures from spawning.","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/FlightMode","Flight Mode","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/FlightMode/Description","Enables flight. Double tap Jump to start flying or stop flying.","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/FlightMode/Description.Gamepad","Enables flight. Double tap <img id=""Gamepad_FaceButton_Bottom""/> to start flying or <img id=""Gamepad_FaceButton_Top""/> to stop flying.","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/GiveAllTiers/Description","Unlocks all Tiers in the game. 

<Orange>This setting is irreversible! To undo, you'll have to load a previous save.</>","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/GiveItems","Give Items","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/GiveItems/Description","Select items to give to the player. Opens a separate window where you can select the items and quantities.","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/GodMode","God Mode","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/GodMode/Description","Makes you invincible.","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/InstantAlternativeRecipe","Unlock Alternate Recipes Instantly","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/InstantAlternativeRecipe/Description","Immediately unlocks an Alternate Recipe when all its requirements are met. This removes the need to collect and scan Hard Drives.","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/KeepInventory","Keep Inventory","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/KeepInventory/Description","Adjusts what items you will keep on death.","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/KeepInventory/Equipment","Keep Equipment","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/KeepInventory/Everything","Keep Everything","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/KeepInventory/Nothing","Keep Nothing","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/NoBuildCost","No Build Cost","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/NoBuildCost/Description","Buildings, Blueprints, and Customizer items have no cost.","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/NoFuelCost/","No Fuel","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","",""
"AGS/Gameplay/NoFuelCost/Description","Vehicles, Drones, Portals, and the Alien Power Augmenter will function without any fuel.","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","",""
"AGS/Gameplay/NoPower","No Power","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/NoPower/Description","Buildings will function without power. There is also no need to connect power lines.","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/NoUnlockCost","No Unlock Cost","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Gameplay/NoUnlockCost/Description","Anything that needs to be unlocked (Milestones, etc.) can be unlocked without having to pay any resources or other costs.","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Progression/GamePhase","Set Game Phase","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Progression/GamePhase/Description","Select Space Elevator Phase. Changing this setting also adjusts the current Tier accordingly.

<Orange>This setting is irreversible! To undo, you'll have to load a previous save.</>","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Progression/GiveAllInShop","Unlock Everything in the AWESOME Shop","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Progression/GiveAllInShop/Description","Unlocks all items and schematics in the AWESOME Shop.

<Orange>This setting is irreversible! To undo, you'll have to load a previous save.</>","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Progression/GiveAllMAM","Unlock All Research in the MAM","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Progression/GiveAllMAM/Description","Unlocks all research in the MAM.

<Orange>This setting is irreversible! To undo, you'll have to load a previous save.</>","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Progression/StartingTier","Select Starting Tier","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Progression/StartingTier/Description","Choose which Tier the game should start at. Changing this setting also adjusts the current Game Phase accordingly.

If any Tier after 1 is selected, Skip Intro will automatically be enabled.","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Progression/StartingTiers/01","Tier 1","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
"AGS/Progression/StartingTiers/02","Tier 2","AGS = Creative Mode (from 1.2 onwards) (Formerly Advanced Game Settings)","","Game","#settings"
