"Key","SourceString","Context","VariableDescription","Type","Tag"
"AudioMessages/CompactView/Button/Pattern","Minimize View ({ExpandPresentationMessage}/{PlayerController_Pause})","","{ExpandPresentationMessage} = text, key name
{PlayerController_Pause} = text, key name","UI",""
"AudioMessages/FullView/Button/Pattern","Full View ({ExpandPresentationMessage})","","{ExpandPresentationMessage} = text, key name","UI",""
"AudioMessages/Skip/Button/Pattern","Skip ({SkipAudioMessage})","","{SkipAudioMessage} = text, key name","UI",""
"BuildGun/Status/Building","Building...","","","UI",""
"BuildGun/Status/CustomizerMode","Customizer Mode...","Build Gun action message","","UI","#interface
#equipment
#build_gun
#build_mode"
"BuildGun/Status/Dismantling","Dismantling...","Build Gun action message","","UI","#interface
#equipment
#build_gun
#build_mode"
"BuildMenu/BlueprintButton/DirectoryText","NEW","","","UI","#interface
#build_menu"
"BuildMenu/Browser/Search/TextBoxHint","Search for Building...","","","UI","#prototype
interface
#build_menu"
"BuildMenu/BuildMenu/CurrentlyBuilding/Info/Pattern","<White12Bold>Currently Building:</>
{BuildingInfo}","","{BuildingInfo} = text, buulding name or building name and Zoop stats","",""
"BuildMenu/BuildMenu/CurrentlyBuilding/Name/Pattern","<White12Bold>Currently Building:</>
<White20Reg>{BuildingName}</>","","{BuildingName} = text, localized buildable name","",""
"BuildMenu/Category/NoFilter","No Filter","","","UI","#prototype
interface
#build_menu"
"BuildMenu/Info/ByProduct","Byproduct","","","UI","#interface
#build_menu
#prototype"
"BuildMenu/Info/Cost","Cost","","","UI","#interface
#build_menu
#prototype"
"BuildMenu/Info/Info","Info","","","UI","#interface
#build_menu
#prototype"
"BuildMenu/Info/Stats","Stats","","","UI","#interface
#build_menu
#prototype"
"BuildMenu/Item/NewText","NEW","","","UI","#prototype
interface
#build_menu"
"BuildMenu/Keybindings/BindToHotbar","Bind to Hotbar","","","",""
"BuildMenu/Keybindings/CycleHotbar","Cycle Hotbar","","","",""
"BuildMenu/Keybindings/Dismantle","Dismantle","","","UI","#interface
#build_menu"
"BuildMenu/Keybindings/Dismantle/Shortcut/Pattern","Hold {PlayerActions_PrimaryFire}","","{PlayerActions_PrimaryFire} = text, key name","UI","#interface
#build_menu"
"BuildMenu/Keybindings/DismantleFilter","Dismantle Filter","","","UI","#interface
#build_menu"
"BuildMenu/Keybindings/HideHUD","Hide HUD","","","",""
"BuildMenu/Keybindings/LockHologram","Lock Hologram","","","",""
"BuildMenu/Keybindings/MassDismantle","Mass Dismantle","","","UI","#interface
#build_menu"
"BuildMenu/Keybindings/MassDismantle/Shortcut/Pattern","Hold {BuildGunDismantle_MultiSelect}","","{BuildGunDismantle_MultiSelect} = text, key name","UI","#interface
#build_menu"
"BuildMenu/Keybindings/RotateHologram","Rotate Hologram","","","",""
"BuildMenu/Keybindings/SampleBlueprint","Sample Blueprint","","","",""
"BuildMenu/Keybindings/SaveHologramToHotbar","Save Hologram To Hotbar","","","",""
"BuildMenu/Keybindings/SaveHologramToHotbar/Hotkey/Pattern","{PlayerActions_SaveHologramToHotbar} + Shortcut","","{PlayerActions_SaveHologramToHotbar} = text, key name","",""
"BuildMenu/Keybindings/Search","Search","","","",""
"BuildMenu/Keybindings/SnapToGuidelines/Hotkey/Pattern","Hold {BuildGunBuild_SnapToGuidelines}","","{BuildGunBuild_SnapToGuidelines} = text, key name","",""
"BuildMenu/Keybindings/Tabs/Shortcut/Pattern","Hover + {PlayerController_Shortcut10}-{PlayerController_Shortcut9}","","{PlayerController_Shortcut10} = text, key name
{PlayerController_Shortcut9} = text, key name","UI","#prototype
interface
#build_menu"
"BuildMenu/ModeText/Build/Pattern","Build Mode: {CurrentBuildMode}","","{CurrentBuildMode} = text, build mode name","",""
"BuildMenu/ModeText/Dismantle/Pattern","Dismantle Mode: {CurrentBuildMode}","","{CurrentBuildMode} = text, build mode name","",""
"BuildMenu/ModeText/None","N/A","","","",""
"BuildMenu/Modes/BuildMode/Build","Build","","","UI","#interface
#build_menu"
"BuildMenu/Modes/BuildMode/BuildMenu","Build Menu","","","UI","#interface
#build_menu"
"BuildMenu/Modes/BuildMode/Close","Close","","","UI","#interface
#build_menu"
"BuildMenu/Modes/BuildMode/Close/Shortcut/Pattern","{ToggleBuildGun} / ESC","","{ToggleBuildGun} = text, key name","UI","#interface
#build_menu"
"BuildMenu/Modes/BuildMode/HideBuildHUD","Hide Build HUD","","","UI","#interface
#build_menu"
"BuildMenu/Modes/BuildMode/Nudge","Nudge","","","UI","#interface
#build_menu"
"BuildMenu/Modes/BuildMode/QuickSwitch","Quick Switch","","","UI","#interface
#build_menu"
"BuildMenu/Modes/BuildMode/Rotate","Rotate","","","UI","#interface
#build_menu"
"BuildMenu/Modes/BuildMode/SampleBuilding","Sample Building","","","UI","#interface
#build_menu"
"BuildMenu/Modes/BuildMode/ShowBuildHUD","Show HUD","","","",""
"BuildMenu/Modes/BuildMode/SnapToGuidelines","Snap Mode","","","UI","#interface
#build_menu"
"BuildMenu/Modes/BuildMode/SnapToGuidelines/Shortcut/Pattern","Hold {BuildGunSnapToGuideLines_ToggleMultiSelectDismantle}","","{BuildGunSnapToGuideLines_ToggleMultiSelectDismantle} = text, key name","UI","#interface
#build_menu"
"BuildMenu/Modes/BuildMode/ToggleBuildMode","Toggle Build Mode","","","UI","#interface
#build_menu"
"BuildMenu/Modes/BuildMode/ToggleDismantleMode","Toggle Dismantle Mode","","","UI","#interface
#build_menu"
"BuildMenu/Modes/BuildMode/UnlockHologram","Unlock Hologram","","","UI","#interface
#build_menu"
"BuildMenu/Modes/BuildMode/ZoopAmount/Pattern","<White20Reg>{BuildingName}</><Orange20Reg> (x{ZoopAmount})</>","","{BuildingName} = text, localized buildable name
{ZoopAmount} = number, multiplication","UI","interface
#build_menu"
"BuildMenu/Modes/BuildMode/ZoopAmountM/Pattern","<White20Reg>{BuildingName}</><Orange20Reg> ({ZoopAmount} m)</>","","{BuildingName} = text, localized buildable name
{ZoopAmount} = number, multiplication","UI","interface
#build_menu"
"BuildMenu/Modes/DismantleMode/Dismantle/Limit","Maximum Dismantle Limit:","","","UI","#interface
#build_menu"
"BuildMenu/Modes/DismantleMode/Status/CurrentlyDismantling/Pattern","<White12Bold>Currently Dismantling:</>
<White20Reg>{BuildingName}</>","","{BuildingName} = text, buildable name","UI","#interface
#build_menu"
"BuildMenu/QuickSwitch/Blueprint","Select Blueprint","","","UI","#interface
#build_menu"
"BuildMenu/QuickSwitch/Building","Select Building","","","UI","#interface
#build_menu"
"BuildMenu/QuickSwitch/Material","Select Material","","","UI","#interface
#build_menu"
"BuildMenu/QuickSwitch/Mode","Select Build Mode","","","UI","#interface
#build_menu"
"BuildMenu/QuickSwitch/Next","Next","","","UI","#interface
#build_menu"
"BuildMenu/QuickSwitch/NextMaterial","Next Material","","","UI","#interface
#build_menu"
"BuildMenu/QuickSwitch/Pattern","Select Pattern","","","UI","#interface
#build_menu"
"BuildMenu/QuickSwitch/Previous","Previous","","","UI","#interface
#build_menu"
"BuildMenu/QuickSwitch/PreviousMaterial","Previous Material","","","UI","#interface
#build_menu"
"BuildMenu/QuickSwitch/Swatch","Select Swatch","","","UI","#interface
#build_menu"
"BuildMenu/Tabs/Architecture","Architecture","","","UI","#interface
#build_menu"
"BuildMenu/Tabs/Architecture/Attachments","Attachments","","","UI","#interface
#build_menu"
