"Key","SourceString","Context","VariableDescription","Type","Tag"
"Categories/Equipment","Equipment","","","Game","#schematics"
"Categories/Logistics","Logistics","","","Game","#schematics"
"Categories/Organization","Organization","","","Game","#schematics"
"Categories/Power","Power","","","Game","#schematics"
"Categories/Production","Production","","","Game","#schematics"
"Categories/Stairs","Stairs","","","",""
"Categories/Walkways","Walkways","","","Game","#schematics"
"Categories/Walls","Walls","","","Game","#schematics"
"Exploration/CateriumElectronics","Caterium Electronics","","","Game","#schematics"
"Exploration/CateriumTechnology","Caterium Technology","","","Game","#schematics"
"Exploration/CentralStorage","Central Storage","","","Game","#schematics"
"Exploration/Explosives","Explosives","","","Game","#schematics"
"Exploration/RemoteStorage","Remote Storage","","","Game","#schematics"
"Progression/1/1","Base Building","","","Game","#schematics"
"Progression/1/2","Logistics","","","Game","#schematics"
"Progression/1/3","Field Research","","","Game","#schematics"
"Progression/2/1","Part Assembly","","","Game","#schematics"
"Progression/2/2","Obstacle Clearing","","","Game","#schematics"
"Progression/2/3","Jump Pads","","","Game","#schematics"
"Progression/2/5","Resource Sink Bonus Program","","","Game","#schematics"
"Progression/2/5/UnlockDescription","This Build Gun software upgrade adds a new tab to the Build Menu: The Customizer. From here pioneers have access to the Color section, as well as Material and Pattern options, which can be purchased in the AWESOME Shop.","","","Game","#schematics"
"Progression/2/5/UnlockName","Build Gun Upgrade: Customizer","","","Game","#schematics"
"Progression/3/1","Coal Power","","","Game","#schematics"
"Progression/3/2","Logistics Mk.2","","","Game","#schematics"
"Progression/3/3","Vehicular Transport","","","Game","#schematics"
"Progression/3/4/","Basic Steel Production","","","Game","#schematics"
"Progression/3/4/UnlockDescription","Awesome new products will become available in the AWESOME Shop upon obtaining this Milestone.","","","Game","#schematics"
"Progression/3/4/UnlockName","New Shop Products!","","","Game","#schematics"
"Progression/4/1","Advanced Steel Production","","","Game","#schematics"
"Progression/4/2","Enhanced Asset Security","","","Game","#schematics"
"Progression/4/3","Expanded Power Infrastructure","","","Game","#schematics"
"Progression/4/4","Hypertubes","","","Game","#schematics"
"Progression/4/5","FICSIT Blueprints","","","Game","#schematics"
"Progression/4/5/UnlockDescription","This Build Gun software upgrade adds the Blueprint tab to the Build Menu. From the Blueprint tab, pioneers are able to access and organize the Blueprints created with the Blueprint Designer.","","","Game","#schematics"
"Progression/4/5/UnlockName","Build Gun Upgrade: Blueprints","","","Game","#schematics"
"Progression/5/1","Oil Processing","","","Game","#schematics"
"Progression/5/1/1","Oil Processing 2","","","Game","#schematics"
"Progression/5/1/Unlocks/1","Heavy Oil Residue","","","Game","#schematics"
"Progression/5/1/Unlocks/1/Description","A by-product of Plastic and Rubber production. Can be further refined into Fuel and Petroleum Coke.","","","Game","#schematics"
"Progression/5/1/Unlocks/2","Polymer Resin","","","Game","#schematics"
"Progression/5/1/Unlocks/2/Description","A by-product of Crude Oil refinement into Fuel. Commonly used to manufacture Plastic and Rubber.","","","Game","#schematics"
"Progression/5/1/Unlocks/3","New Shop Products!","","","Game","#schematics"
"Progression/5/1/Unlocks/3/Description","Awesome new products will become available in the AWESOME Shop upon obtaining this Milestone.","","","Game","#schematics"
"Progression/5/2","Industrial Manufacturing","","","Game","#schematics"
"Progression/5/3","Logistics Mk.3","","","Game","#schematics"
"Progression/5/4","Fluid Packaging","","","Game","#schematics"
"Progression/5/4/1","Alternative Fluid Transport 2","","","Game","#schematics"
"Progression/5/5","Petroleum Power","","","Game","#schematics"
"Progression/5/5/1","Petroleum Power 2","","","Game","#schematics"
