"Key","SourceString","Context","VariableDescription","Type","Tag"
"Drones/Drone/MapText/Name/Pattern","Drone {StationName}","","{StationName} = text","UI",""
"Drones/DronePort/AllPortsTab","All Ports","","","UI","#interface
#transportation"
"Drones/DronePort/AllPortsTab/AllPorts","All Ports:","","","UI","#interface
#transportation"
"Drones/DronePort/AllPortsTab/FoundPorts/None","<White>No Ports</>","","","UI","#interface
#transportation"
"Drones/DronePort/AllPortsTab/FoundPorts/One/Pattern","<Orange>+1</> other Port","Drone Port screen, used for +1 port only (not ICU one)","","UI","#interface
#transportation"
"Drones/DronePort/AllPortsTab/FoundPorts/Pattern","<Orange>{number} Ports found</>","Drone Port screen, supports plurals","{number} = number","UI","#interface
#transportation"
"Drones/DronePort/AllPortsTab/FoundPorts/Plural/Pattern","<Orange>+{number}</> other Ports","Drone Port screen, supports plurals","{number} = number","UI","#interface
#transportation"
"Drones/DronePort/AllPortsTab/FoundPorts/PluralWithLimit/Pattern","<Orange>{number} Ports found.</> Only the {displayLimit} farthest are displayed. Please narrow your search.","Drone Port screen, supports plurals, used when over display limit","{number} = number
{displayLimit} = number","UI","#interface
#transportation"
"Drones/DronePort/AllPortsTab/FoundPortsOne/Pattern","<Orange>1 Port found</>","Drone Port screen, used for 1 port only","","UI","#interface
#transportation"
"Drones/DronePort/AllPortsTab/NoPorts/Description","No Drone Ports found.","","","UI","#interface
#transportation"
"Drones/DronePort/AllPortsTab/Search/Match","Exact match!","","","UI","#interface
#transportation"
"Drones/DronePort/AllPortsTab/Search/TextBoxHint","Search for a port...","","","UI","#interface
#transportation"
"Drones/DronePort/LookAtDescription/Pattern","Press {Use} to interact with {Name}","","{Use} = text, key name
{Name} = text, localized building name (Drone Port)","UI","#interface
#transportation"
"Drones/DronePort/MainTab/BatteriesPerMin/NA","N/A","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/BatteriesPerMin/Pattern","{batteries_used_per_minute} per min","","{batteries_used_per_minute} = number","UI","#buildable
#transportation"
"Drones/DronePort/MainTab/Destination/NoPort","No Port - Select a destination...","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Destination/NoPort/TextBoxHint","Select a destination...","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Destination/Route/Pattern","{ThisStation} - {StationName}","","{ThisStation} = text, port name
{StationName} = text, another port name","UI","#interface
#transportation"
"Drones/DronePort/MainTab/DroneStatus","DRONE STATUS:","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Fuel/Label","Fuel","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Fuel/Tooltip","The amount of Fuel required by a single Drone per round trip.","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/FuelPerMinute","Fuel per Minute","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/FuelPerMinute/Tooltip","The Fuel throughput required to meet the round trip requirements for a single Drone.","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Items/Incoming","Incoming:","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Items/Outgoing","Outgoing:","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/LastFuelType","Last Fuel Type","","","UI",""
"Drones/DronePort/MainTab/Name/TextBoxHint","Enter name here...","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Power/NA","N/A","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/PowerConsumption","Power Consumption","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/PowerConsumption/Tooltip","The amount of power the Drone Port is currently consuming.","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/RoundtripTime","Round Trip Time","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/RoundtripTime/Tooltip","The time it takes for a Drone to travel from this Port to the connected Port, and back.","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Status/CannotUnload","Cannot Unload","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Status/Charging","Charging","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Status/Docked","Docked","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Status/Docking","Docking","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Status/EnRoute","En Route","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Status/Loading","Loading","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Status/NoDrone","No Drone","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Status/NoFuel","Not Enough Fuel","","","UI",""
"Drones/DronePort/MainTab/Status/NotEnoughFuel","Insufficient Fuel","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Status/Takeoff","Takeoff","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Status/Unloading","Unloading","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Target","TARGET:","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Target/NoDestinationSet","No Destination Set","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Time/NA","N/A","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Transfer/IncomingOutgoingTransferRate","Incoming/Outgoing Transfer Rate","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Transfer/IncomingOutgoingTransferRate/Tooltip","The number of items transported from and to this Port, based on the most recent Drone activity.","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Transfer/IncomingTransferRate/Pattern","<WhiteSmall>Incoming Transfer Rate:</>
<OrangeSmall>{StackSize} items per minute</>","","{StackSize} = number, number of items","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Transfer/MaxTransferRate","Maximum Transfer Rate","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Transfer/MaxTransferRate/Pattern","<WhiteSmall>Maximum Transfer Rate:</>
<OrangeSmall>{StackSize} stacks per minute</>","","{StackSize} = number, number of items","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Transfer/MaxTransferRate/Tooltip","The maximum Incoming and Outgoing throughput this Port can currently achieve, based on all the Drones transporting from and to this Port.","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/Transfer/OutgoingTransferRate/Pattern","<WhiteSmall>Outgoing Transfer Rate:</>
<OrangeSmall>{StackSize} items per minute</>","","{StackSize} = number, number of items","UI","#interface
#transportation"
"Drones/DronePort/MainTab/TripCost","Trip Cost","","","UI",""
"Drones/DronePort/MainTab/TripCost/NA","N/A","","","UI","#interface
#transportation"
"Drones/DronePort/MainTab/TripCost/Pattern","{trip_cost_in_fuel} per trip","","{trip_cost_in_fuel} = number, battery consumption","UI","#interface
#transportation"
"Drones/DronePort/MapText/BatteryConsumption/Pattern","Fuel Consumption: <OrangeSmall>{amount} per minute</>","","{amount} = number, battery consumption","UI","#interface
#transportation"
"Drones/DronePort/MapText/BatteryConsumption/Unknown","Fuel Consumption: <OrangeSmall>N/A</>","","","UI","#interface
#transportation"
"Drones/DronePort/MapText/DroneStatus/Pattern","Drone Status: <OrangeSmall>{Status}</>","Drone screen","{Status} = text","UI","#interface
#transportation"
"Drones/DronePort/MapText/MaxTransferRate/Pattern","Maximum Transfer Rate: <OrangeSmall>{StackSize} stacks per minute</>","","{StackSize} = text, formatted number of stacks","UI","#interface
#transportation"
"Drones/DronePort/PlusOnePort/Pattern","+{Num} other Port...","Drone Port screen, used for 1 port only (not ICU `one`)","{Num} = number","UI","#interface
#transportation"
"Drones/DronePort/PlusPluralPorts/Pattern","+{Num} other Ports...","Drone Port screen, supports plurlals","{Num} = number","UI","#interface
#transportation"
"Drones/DronePort/ThisPortTab","This Port","","","UI","#interface
#transportation"
"Drones/DronePort/ThisPortTab/Destination/Distance/Pattern","{A} m","","{A} = number, distance","UI","#buildable
#transportation"
"Drones/DronePort/ThisPortTab/RelevantPorts","Relevant Ports:","","","UI","#interface
#transportation"
"Drones/DronePort/ThisPortTab/ThisPort","This Port:","","","UI","#interface
#transportation"
"Drones/DronePort/ThisPortTab/ThisPort/Destination","Destination","","","UI","#interface
#transportation"
"Drones/DronePort/ThisPortTab/ThisPort/Destination/Route/ThisPort","(This Port)","","","UI","#interface
#transportation"
"Drones/DronePort/ThisPortTab/ThisPort/Distance","Distance","","","UI","#interface
#transportation"
"Drones/DronePort/ThisPortTab/ThisPort/Name","Port Name","","","UI","#interface
#transportation"
"Drones/DronePort/ThisPortTab/ThisPort/Status","Status","","","UI","#interface
#transportation"
"Drones/DronePort/ThisPortTab/Tooltip/BatteryConsumption","Fuel Consumption:","","","UI","#interface
#transportation"
"Drones/DronePort/ThisPortTab/Tooltip/BatteryConsumption/Pattern","{float_number_of_batteries} per minute","","{float_number_of_batteries} = number, number of batteries","UI","#buildable
#transportation"
"Drones/DronePort/ThisPortTab/Tooltip/MaxTransferRate/Pattern","{float_number_of_stacks} stacks per minute","","{float_number_of_stacks} = number","UI","#buildable
#transportation"
"Drones/DronePort/Tooltip/DroneStatus","Drone Status:","Drone Port screen","","UI","#interface
#transportation"
"Drones/DronePort/Tooltip/MaxTransferRate","Maximum Transfer Rate:","Drone Port screen","","UI","#interface
#transportation"
"Drones/DronePort/Warning/NoPower","NO POWER","","","UI","#interface
#transportation"
"Drones/DronePort/Warning/ProductionPaused","Production Paused","","","UI","#interface
#transportation"
"Equipment/FactoryCart/FunnyName","Puny Vroom","","","UI",""
"Equipment/FactoryCart/Inventory","Factory Cart™ Inventory","","","UI","#interface
#transportation"
