"Key","SourceString","Context","VariableDescription","Type","Tag"
"CubicMeter","m³","","","UI","#interface"
"CubicMeter/Pattern","{Value} m³","","{Value} = number","UI","#interface"
"CubicMeter/Per/Minute","m³ per minute","","","UI","#interface"
"CubicMeter/Per/Minute/Pattern","{Value} m³ per minute","","{Value} = number","UI","#interface"
"CubicMeter/Slash/Min","m³/min","","","UI","#interface"
"CubicMeter/Slash/Min/Pattern","{Value} m³/min","","{Value} = number","UI","#interface"
"Megajoule/MJ/Pattern","{Value} MJ","","{Value} = number","UI","#interface"
"Megawatt/Hour/Pattern","{Value} MWh","","{Value} = number","UI","#interface"
"Megawatt/MW","MW","Generator screen","","UI","#buildable"
"Megawatt/MW/MinMax/Pattern","{MinValue} - {MaxValue} MW","","{MinValue} = number
{MaxValue} = number","UI","#interface"
"Megawatt/Pattern","{Value} MW","","{Value} = number","UI","#interface"
"Meter/m","m","","","UI","#interface"
"Number/Per/Minute/Pattern","{Value} per minute","","{Value} = number","UI","#interface"
"Parts","Parts","Suffix for Solids, not sure if used","","",""
"Suffix/Per/Minute"," {Suffix} per minute","Leading space has to be preserved","{Suffix} = text, units","UI","#interface"
